"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"citric acid and sodium citrate",NA,NA,91198,"citric acid / sodium citrate"
"terbutaline",10368,"terbutaline",10368,"terbutaline"
"salmeterol",36117,"salmeterol",36117,"salmeterol"
"ketotifen ophthalmic",NA,NA,NA,NA
"azelastine ophthalmic",NA,NA,NA,NA
"bepotastine ophthalmic",NA,NA,NA,NA
"cromolyn sodium",NA,NA,NA,NA
"epinastine ophthalmic",NA,NA,NA,NA
"alcaftadine ophthalmic",NA,NA,NA,NA
"prednisolone",8638,"prednisolone",8638,"prednisolone"
"nedocromil ophthalmic",NA,NA,NA,NA
"ketotifen",6146,"ketotifen",6146,"ketotifen"
"cetirizine",20610,"cetirizine",20610,"cetirizine"
"doxylamine",3642,"doxylamine",3642,"doxylamine"
"carbinoxamine",20220,"carbinoxamine",20220,"carbinoxamine"
"diphenhydramine",3498,"diphenhydramine",3498,"diphenhydramine"
"diphenhydramine chewable tablets and orally-disintegrating tablets",NA,NA,NA,NA
"loratadine",28889,"loratadine",28889,"loratadine"
"promethazine",8745,"promethazine",8745,"promethazine"
"chlorpheniramine",2400,"chlorpheniramine",2400,"chlorpheniramine"
"cyproheptadine",3013,"cyproheptadine",3013,"cyproheptadine"
"fexofenadine",87636,"fexofenadine",87636,"fexofenadine"
"fluticasone nasal",NA,NA,NA,NA
"montelukast",88249,"montelukast",88249,"montelukast"
"azelastine nasal",NA,NA,NA,NA
"mometasone nasal",NA,NA,NA,NA
"levocetirizine",356887,"levocetirizine",356887,"levocetirizine"
"azelastine and fluticasone nasal",NA,NA,NA,NA
"fluticasone nasal spray",NA,NA,NA,NA
"desloratadine",275635,"desloratadine",275635,"desloratadine"
"hydroxyzine",5553,"hydroxyzine",5553,"hydroxyzine"
"famotidine",4278,"famotidine",4278,"famotidine"
"triprolidine",10849,"triprolidine",10849,"triprolidine"
"dexchlorpheniramine and phenylephrine",NA,NA,728498,"dexchlorpheniramine / phenylephrine"
"tetracaine topical",NA,NA,NA,NA
"carbinoxamine liquid",NA,NA,NA,NA
"corticotropin",376,"corticotropin",376,"corticotropin"
"dexbrompheniramine",22696,"dexbrompheniramine",22696,"dexbrompheniramine"
"ibuprofen, phenylephrine, and chlorpheniramine",NA,NA,NA,NA
"dexbrompheniramine and phenylephrine",NA,NA,815449,"dexbrompheniramine / phenylephrine"
"minoxidil topical",NA,NA,NA,NA
"minoxidil",6984,"minoxidil",6984,"minoxidil"
"sulfasalazine",9524,"sulfasalazine",9524,"sulfasalazine"
"alpha 1-proteinase inhibitor",NA,NA,535,"alpha 1-antitrypsin"
"lisinopril",29046,"lisinopril",29046,"lisinopril"
"losartan",52175,"losartan",52175,"losartan"
"enalapril",3827,"enalapril",3827,"enalapril"
"fosinopril",50166,"fosinopril",50166,"fosinopril"
"candesartan",214354,"candesartan",214354,"candesartan"
"quinapril",35208,"quinapril",35208,"quinapril"
"donepezil",135447,"donepezil",135447,"donepezil"
"memantine",6719,"memantine",6719,"memantine"
"rivastigmine",183379,"rivastigmine",183379,"rivastigmine"
"galantamine",4637,"galantamine",4637,"galantamine"
"vitamin e, tocopherol alpha",NA,NA,NA,NA
"donepezil and memantine",NA,NA,1430990,"donepezil / memantine"
"vitamin e",11256,"vitamin e",11256,"vitamin e"
"etanercept",214555,"etanercept",214555,"etanercept"
"ergoloid mesylates",NA,NA,4024,"ergoloid mesylates, usp"
"ergoloid mesylates",NA,NA,3419,"dihydroergotoxine"
"vitamin e capsules and tablets",NA,NA,NA,NA
"metronidazole",6922,"metronidazole",6922,"metronidazole"
"tinidazole",10612,"tinidazole",10612,"tinidazole"
"nitazoxanide",31819,"nitazoxanide",31819,"nitazoxanide"
"paromomycin",7934,"paromomycin",7934,"paromomycin"
"chloroquine",2393,"chloroquine",2393,"chloroquine"
"progesterone",8727,"progesterone",8727,"progesterone"
"progesterone vaginal",NA,NA,NA,NA
"tafamidis",1545063,"tafamidis",1545063,"tafamidis"
"patisiran",2053490,"patisiran",2053490,"patisiran"
"inotersen",2099289,"inotersen",2099289,"inotersen"
"riluzole",35623,"riluzole",35623,"riluzole"
"edaravone",1921877,"edaravone",1921877,"edaravone"
"capecitabine",194000,"capecitabine",194000,"capecitabine"
"fluorouracil",4492,"fluorouracil",4492,"fluorouracil"
"mitomycin",632,"mitomycin",632,"mitomycin"
"cisplatin",2555,"cisplatin",2555,"cisplatin"
"nitroglycerin",4917,"nitroglycerin",4917,"nitroglycerin"
"hydrocortisone rectal",NA,NA,NA,NA
"clobetasol topical",NA,NA,NA,NA
"lidocaine topical",NA,NA,NA,NA
"lidocaine gel",NA,NA,NA,NA
"zinc oxide topical",NA,NA,NA,NA
"hydrocortisone acetate",NA,NA,NA,NA
"benzocaine",1399,"benzocaine",1399,"benzocaine"
"glycerin and lidocaine",NA,NA,1602012,"glycerin / lidocaine"
"hydrocortisone topical",NA,NA,NA,NA
"acetaminophen, aspirin, and caffeine",NA,NA,NA,NA
"acetaminophen, aspirin, and caffeine powder packet",NA,NA,NA,NA
"naproxen and pseudoephedrine",NA,NA,284641,"naproxen / pseudoephedrine"
"acetaminophen, aspirin, and caffeine tablets",NA,NA,NA,NA
"acetaminophen, dextromethorphan, doxylamine, and phenylephrine",NA,NA,NA,NA
"acetaminophen, dextromethorphan, and phenylephrine",NA,NA,NA,NA
"acetaminophen, dextromethorphan, and phenylephrine capsules and tablets",NA,NA,NA,NA
"temozolomide",37776,"temozolomide",37776,"temozolomide"
"procarbazine",8702,"procarbazine",8702,"procarbazine"
"lomustine",6466,"lomustine",6466,"lomustine"
"finasteride",25025,"finasteride",25025,"finasteride"
"ketoconazole topical",NA,NA,NA,NA
"darbepoetin alfa",283838,"darbepoetin alfa",283838,"darbepoetin alfa"
"epoetin alfa",105694,"epoetin alfa",105694,"epoetin alfa"
"ferrous sulfate",24947,"ferrous sulfate",24947,"ferrous sulfate"
"ferrous fumarate",24941,"ferrous fumarate",24941,"ferrous fumarate"
"epoetin beta and methoxy polyethylene glycol",NA,NA,NA,NA
"ferrous gluconate",24942,"ferrous gluconate",24942,"ferrous gluconate"
"ferrous sulfate capsules and tablets",NA,NA,NA,NA
"ferumoxytol",473387,"ferumoxytol",473387,"ferumoxytol"
"sodium ferric gluconate complex",261435,"sodium ferric gluconate complex",261435,"sodium ferric gluconate complex"
"iron dextran",NA,NA,5992,"iron-dextran complex"
"ferrous fumarate and folic acid",NA,NA,1008559,"ferrous fumarate / folic acid"
"multivitamin with iron",NA,NA,NA,NA
"pyridoxine",684879,"pyridoxine",684879,"pyridoxine"
"oxymetholone",7813,"oxymetholone",7813,"oxymetholone"
"iron/folic acid/cyanocobalamin/vitamin c/docusate",NA,NA,NA,NA
"vitamin b complex and iron combinations tablets and capsules",NA,NA,NA,NA
"ferrous fumarate, polysaccharide iron complex, vitamin c, and vitamin b3",NA,NA,NA,NA
"multivitamins, folic acid, and iron capsules",NA,NA,NA,NA
"lenalidomide",342369,"lenalidomide",342369,"lenalidomide"
"cyanocobalamin/folic acid/iron",NA,NA,NA,NA
"iron, succinic acid, vitamin c, folic acid, and vitamin b12",NA,NA,NA,NA
"hydromorphone",3423,"hydromorphone",3423,"hydromorphone"
"fentanyl transdermal",NA,NA,NA,NA
"atracurium",1218,"atracurium",1218,"atracurium"
"butorphanol",1841,"butorphanol",1841,"butorphanol"
"methohexital",6847,"methohexital",6847,"methohexital"
"propofol",8782,"propofol",8782,"propofol"
"lidocaine injection",NA,NA,NA,NA
"lidocaine and prilocaine topical",NA,NA,NA,NA
"ketamine",6130,"ketamine",6130,"ketamine"
"succinylcholine",10154,"succinylcholine",10154,"succinylcholine"
"glycopyrrolate",NA,NA,NA,NA
"rocuronium",68139,"rocuronium",68139,"rocuronium"
"etomidate",4177,"etomidate",4177,"etomidate"
"lidocaine viscous",NA,NA,NA,NA
"vecuronium",71535,"vecuronium",71535,"vecuronium"
"hyoscyamine",153970,"hyoscyamine",153970,"hyoscyamine"
"cisatracurium",319864,"cisatracurium",319864,"cisatracurium"
"sevoflurane",36453,"sevoflurane",36453,"sevoflurane"
"lidocaine",6387,"lidocaine",6387,"lidocaine"
"isosorbide mononitrate",NA,NA,NA,NA
"aspirin",1191,"aspirin",1191,"aspirin"
"metoprolol",6918,"metoprolol",6918,"metoprolol"
"bisoprolol",19484,"bisoprolol",19484,"bisoprolol"
"nitroglycerin sublingual",NA,NA,NA,NA
"isosorbide dinitrate",6058,"isosorbide dinitrate",6058,"isosorbide dinitrate"
"diltiazem",3443,"diltiazem",3443,"diltiazem"
"aspirin tablets",NA,NA,NA,NA
"nifedipine",7417,"nifedipine",7417,"nifedipine"
"metoprolol injection",NA,NA,NA,NA
"metoprolol succinate tablet, extended release",NA,NA,NA,NA
"diltiazem long-acting capsules",NA,NA,NA,NA
"ranolazine",35829,"ranolazine",35829,"ranolazine"
"amlodipine",17767,"amlodipine",17767,"amlodipine"
"carvedilol",20352,"carvedilol",20352,"carvedilol"
"amlodipine and atorvastatin",NA,NA,404773,"amlodipine / atorvastatin"
"verapamil immediate-release tablets",NA,NA,NA,NA
"interferon alfa-2b",5880,"interferon alfa-2b",5880,"interferon alfa-2b"
"iohexol",NA,NA,NA,NA
"danazol",3102,"danazol",3102,"danazol"
"mebendazole",6672,"mebendazole",6672,"mebendazole"
"adalimumab",327361,"adalimumab",327361,"adalimumab"
"celecoxib",140587,"celecoxib",140587,"celecoxib"
"diclofenac",3355,"diclofenac",3355,"diclofenac"
"infliximab",191831,"infliximab",191831,"infliximab"
"golimumab",819300,"golimumab",819300,"golimumab"
"certolizumab",NA,NA,709271,"certolizumab pegol"
"secukinumab",1599788,"secukinumab",1599788,"secukinumab"
"esomeprazole and naproxen",NA,NA,994202,"esomeprazole / naproxen"
"fluvoxamine",42355,"fluvoxamine",42355,"fluvoxamine"
"dronabinol",10402,"dronabinol",10402,"dronabinol"
"ciprofloxacin",2551,"ciprofloxacin",2551,"ciprofloxacin"
"levofloxacin",82122,"levofloxacin",82122,"levofloxacin"
"moxifloxacin",139462,"moxifloxacin",139462,"moxifloxacin"
"anthrax vaccine",NA,NA,1368371,"bacillus anthracis strain v770-np1-r antigens"
"ofloxacin",7623,"ofloxacin",7623,"ofloxacin"
"penicillin g procaine",NA,NA,NA,NA
"procaine penicillin",NA,NA,NA,NA
"meloxicam",41493,"meloxicam",41493,"meloxicam"
"betamethasone",1514,"betamethasone",1514,"betamethasone"
"magnesium salicylate",52364,"magnesium salicylate",52364,"magnesium salicylate"
"tolmetin",10636,"tolmetin",10636,"tolmetin"
"immune globulin",NA,NA,NA,NA
"physostigmine",8299,"physostigmine",8299,"physostigmine"
"pralidoxime",34345,"pralidoxime",34345,"pralidoxime"
"atropine",1223,"atropine",1223,"atropine"
"atropine auto-injector",NA,NA,NA,NA
"heparin",5224,"heparin",5224,"heparin"
"warfarin",11289,"warfarin",11289,"warfarin"
"antithrombin",NA,NA,1009,"antithrombin iii"
"sertraline",36437,"sertraline",36437,"sertraline"
"amitriptyline",704,"amitriptyline",704,"amitriptyline"
"paroxetine",32937,"paroxetine",32937,"paroxetine"
"venlafaxine",39786,"venlafaxine",39786,"venlafaxine"
"prazosin",8629,"prazosin",8629,"prazosin"
"alprazolam",596,"alprazolam",596,"alprazolam"
"clonazepam",2598,"clonazepam",2598,"clonazepam"
"lorazepam",6470,"lorazepam",6470,"lorazepam"
"buspirone",1827,"buspirone",1827,"buspirone"
"escitalopram",321988,"escitalopram",321988,"escitalopram"
"duloxetine",72625,"duloxetine",72625,"duloxetine"
"trazodone",10737,"trazodone",10737,"trazodone"
"bupropion",42347,"bupropion",42347,"bupropion"
"mirtazapine",15996,"mirtazapine",15996,"mirtazapine"
"lamotrigine",28439,"lamotrigine",28439,"lamotrigine"
"iodixanol",27729,"iodixanol",27729,"iodixanol"
"triamcinolone topical",NA,NA,NA,NA
"benzocaine topical",NA,NA,NA,NA
"benzocaine oral spray",NA,NA,NA,NA
"benzocaine lozenges",NA,NA,NA,NA
"filgrastim",68442,"filgrastim",68442,"filgrastim"
"sargramostim",69634,"sargramostim",69634,"sargramostim"
"lymphocyte immune globulin, anti-thymocyte ",NA,NA,NA,NA
"eltrombopag",711942,"eltrombopag",711942,"eltrombopag"
"theophylline",10438,"theophylline",10438,"theophylline"
"caffeine citrate",NA,NA,NA,NA
"piperacillin and tazobactam",NA,NA,74169,"piperacillin / tazobactam"
"amiodarone tablets",NA,NA,NA,NA
"verapamil",11170,"verapamil",11170,"verapamil"
"dofetilide",49247,"dofetilide",49247,"dofetilide"
"amiodarone",703,"amiodarone",703,"amiodarone"
"mexiletine",6926,"mexiletine",6926,"mexiletine"
"verapamil long-acting tablets",NA,NA,NA,NA
"disopyramide",3541,"disopyramide",3541,"disopyramide"
"phenytoin",8183,"phenytoin",8183,"phenytoin"
"quinidine",9068,"quinidine",9068,"quinidine"
"procainamide",8700,"procainamide",8700,"procainamide"
"verapamil long-acting capsules",NA,NA,NA,NA
"dimercaprol",3445,"dimercaprol",3445,"dimercaprol"
"albendazole",430,"albendazole",430,"albendazole"
"pyrantel",8984,"pyrantel",8984,"pyrantel"
"ivermectin",6069,"ivermectin",6069,"ivermectin"
"pyrantel pamoate suspension",NA,NA,NA,NA
"furosemide",4603,"furosemide",4603,"furosemide"
"hydrochlorothiazide and spironolactone",NA,NA,324042,"hydrochlorothiazide / spironolactone"
"bumetanide",1808,"bumetanide",1808,"bumetanide"
"torsemide",38413,"torsemide",38413,"torsemide"
"amiloride",644,"amiloride",644,"amiloride"
"triamterene",10763,"triamterene",10763,"triamterene"
"ethacrynic acid injection",NA,NA,NA,NA
"ethacrynic acid",NA,NA,NA,NA
"alendronate",46041,"alendronate",46041,"alendronate"
"lisdexamfetamine",700810,"lisdexamfetamine",700810,"lisdexamfetamine"
"itraconazole",28031,"itraconazole",28031,"itraconazole"
"amphotericin b",732,"amphotericin b",732,"amphotericin b"
"amphotericin b lipid complex",NA,NA,NA,NA
"voriconazole",121243,"voriconazole",121243,"voriconazole"
"posaconazole",282446,"posaconazole",282446,"posaconazole"
"amphotericin b liposomal",NA,NA,NA,NA
"caspofungin",140108,"caspofungin",140108,"caspofungin"
"isavuconazonium",1608322,"isavuconazonium",1608322,"isavuconazonium"
"amoxicillin and clavulanate potassium",NA,NA,19711,"amoxicillin / clavulanate"
"clindamycin",2582,"clindamycin",2582,"clindamycin"
"lansoprazole",17128,"lansoprazole",17128,"lansoprazole"
"amoxicillin and clavulanate extended-release tablets",NA,NA,NA,NA
"ampicillin and sulbactam",NA,NA,1009148,"ampicillin / sulbactam"
"amoxicillin and clavulanate",NA,NA,19711,"amoxicillin / clavulanate"
"cefoxitin",2189,"cefoxitin",2189,"cefoxitin"
"imipenem and cilastatin",NA,NA,34482,"cilastatin / imipenem"
"clindamycin oral solution",NA,NA,NA,NA
"albuterol inhalation",NA,NA,NA,NA
"albuterol",435,"albuterol",435,"albuterol"
"levalbuterol inhalation",NA,NA,NA,NA
"fluticasone and salmeterol",NA,NA,284635,"fluticasone / salmeterol"
"budesonide and formoterol",NA,NA,389132,"budesonide / formoterol"
"beclomethasone inhalation",NA,NA,NA,NA
"fluticasone inhalation",NA,NA,NA,NA
"formoterol and mometasone",NA,NA,1002293,"formoterol / mometasone"
"budesonide",19831,"budesonide",19831,"budesonide"
"zafirlukast",114970,"zafirlukast",114970,"zafirlukast"
"mometasone inhalation",NA,NA,NA,NA
"budesonide inhalation",NA,NA,NA,NA
"omalizumab",302379,"omalizumab",302379,"omalizumab"
"ipratropium",7213,"ipratropium",7213,"ipratropium"
"fluticasone and vilanterol",NA,NA,1424888,"fluticasone / vilanterol"
"ipratropium inhalation",NA,NA,NA,NA
"ciclesonide",274964,"ciclesonide",274964,"ciclesonide"
"ipratropium inhalation solution",NA,NA,NA,NA
"calcium chloride",1901,"calcium chloride",1901,"calcium chloride"
"rosuvastatin",301542,"rosuvastatin",301542,"rosuvastatin"
"tacrolimus topical",NA,NA,NA,NA
"betamethasone topical",NA,NA,NA,NA
"fluocinonide topical",NA,NA,NA,NA
"pimecrolimus topical",NA,NA,NA,NA
"fluocinolone topical",NA,NA,NA,NA
"mometasone topical",NA,NA,NA,NA
"desonide topical",NA,NA,NA,NA
"crisaborole topical",NA,NA,NA,NA
"fluticasone topical",NA,NA,NA,NA
"desoximetasone topical",NA,NA,NA,NA
"azathioprine",1256,"azathioprine",1256,"azathioprine"
"rivaroxaban",1114195,"rivaroxaban",1114195,"rivaroxaban"
"digoxin",3407,"digoxin",3407,"digoxin"
"flecainide",4441,"flecainide",4441,"flecainide"
"sotalol",9947,"sotalol",9947,"sotalol"
"dronedarone",233698,"dronedarone",233698,"dronedarone"
"propafenone",8754,"propafenone",8754,"propafenone"
"esmolol",49737,"esmolol",49737,"esmolol"
"ibutilide",41289,"ibutilide",41289,"ibutilide"
"sotalol oral solution",NA,NA,NA,NA
"adenosine",296,"adenosine",296,"adenosine"
"estradiol vaginal",NA,NA,NA,NA
"estradiol oral",NA,NA,NA,NA
"estradiol transdermal",NA,NA,NA,NA
"estradiol topical",NA,NA,NA,NA
"estradiol",4083,"estradiol",4083,"estradiol"
"estradiol and norethindrone",NA,NA,214551,"estradiol / norethindrone"
"estradiol transdermal biweekly patch",NA,NA,NA,NA
"conjugated estrogens and medroxyprogesterone",NA,NA,NA,NA
"estradiol vaginal insert",NA,NA,NA,NA
"amphetamine and dextroamphetamine",NA,NA,253146,"amphetamine / dextroamphetamine"
"methylphenidate",6901,"methylphenidate",6901,"methylphenidate"
"methylphenidate transdermal",NA,NA,NA,NA
"atomoxetine",38400,"atomoxetine",38400,"atomoxetine"
"dextroamphetamine",3288,"dextroamphetamine",3288,"dextroamphetamine"
"guanfacine",40114,"guanfacine",40114,"guanfacine"
"dexmethylphenidate",352372,"dexmethylphenidate",352372,"dexmethylphenidate"
"methamphetamine",6816,"methamphetamine",6816,"methamphetamine"
"amphetamine",725,"amphetamine",725,"amphetamine"
"ziprasidone",115698,"ziprasidone",115698,"ziprasidone"
"paliperidone",679314,"paliperidone",679314,"paliperidone"
"mycophenolate mofetil",68149,"mycophenolate mofetil",68149,"mycophenolate mofetil"
"oseltamivir",260101,"oseltamivir",260101,"oseltamivir"
"h5n1 influenza virus vaccine",NA,NA,NA,NA
"tisagenlecleucel",1986438,"tisagenlecleucel",1986438,"tisagenlecleucel"
"cyanocobalamin",NA,NA,11248,"vitamin b 12"
"atovaquone",60212,"atovaquone",60212,"atovaquone"
"azithromycin",18631,"azithromycin",18631,"azithromycin"
"tramadol",10689,"tramadol",10689,"tramadol"
"acetaminophen and hydrocodone",NA,NA,214182,"acetaminophen / hydrocodone"
"nabumetone",31448,"nabumetone",31448,"nabumetone"
"ceftriaxone",2193,"ceftriaxone",2193,"ceftriaxone"
"cefotaxime",2186,"cefotaxime",2186,"cefotaxime"
"vancomycin",11124,"vancomycin",11124,"vancomycin"
