LOINC,va_path,phs_path
16228-9,LP29693-6.LP7791-9.LP30812-9,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP16104-9.LP391863-0
16249-5,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP390102-4
16251-1,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15174-3.LP390032-3
1649-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP15277-4.LP385194-8
17395-5,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15176-8.LP390128-9
1751-7,LP29693-6.LP7776-0.LP32805-1,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP6118-6.LP384485-1
1763-2,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31653-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31653-6.LP14377-3.LP381044-9
1834-1,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP36654-9,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP36654-9.LP14331-0.LP384631-0
1952-1,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP31519-9,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP31519-9.LP14907-7.LP384701-1
1975-2,LP29693-6.LP7851-1.LP40317-7,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP15448-1.LP385283-9
1989-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP64575-1.LP15455-6.LP385191-4
2028-9,LP29693-6.LP343631-0.LP7786-9.LP19403-2,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP15150-3.LP383334-2
2039-6,LP29693-6.LP7839-6.LP57347-4,LP29693-6.LP343631-0.LP7786-9.LP31412-7.LP14650-3.LP28643-2.LP386113-7
2064-4,LP29693-6.LP343631-0.LP7786-9.LP15838-3,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP15479-6.LP384552-8
2141-0,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31660-1.LP14656-0.LP381359-1
2143-6,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31653-6,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31653-6.LP14161-1.LP381061-3
2164-2,LP29693-6.LP343631-0.LP7786-9.LP31398-8.LP14355-9,LP29693-6.LP343631-0.LP7786-9.LP31398-8.LP14355-9.LP29651-4.LP29650-6.LP385366-2
2236-8,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP64575-1.LP15553-8.LP385192-2
2243-4,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP14661-0,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14661-0.LP14497-9.LP381268-4
2276-4,LP29693-6.LP343631-0.LP7786-9.LP15677-5,LP29693-6.LP343631-0.LP7786-9.LP15677-5.LP15568-6.LP385083-3
2407-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14489-6.LP386455-2
24462-4,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14489-6.LP386455-2
2458-8,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14669-3.LP384793-8
2465-3,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP384832-4
2466-1,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15657-7.LP384834-0
2467-9,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15658-5.LP384835-7
2468-7,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15659-3.LP384836-5
2469-5,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14672-7.LP15660-1.LP384837-3
2472-9,LP29693-6.LP7839-6.LP57347-4.LP31769-0,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP31769-0.LP14674-3.LP384862-1
2498-4,LP29693-6.LP343631-0.LP7784-4,LP29693-6.LP343631-0.LP7786-9.LP15677-5.LP385074-2
25145-4,LP29693-6.LP7851-1.LP14738-6,LP29693-6.LP7851-1.LP14738-6.LP14082-9.LP402462-8
2529-6,LP29693-6.LP343631-0.LP7786-9.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15033-1.LP383074-4
2532-0,LP29693-6.LP343631-0.LP7786-9.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15033-1.LP383084-3
25700-6,LP7787-7.LP248771-0,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP21032-5.LP386675-5
2692-2,LP29693-6.LP343631-0.LP7784-4.LP31410-1,LP29693-6.LP343631-0.LP7786-9.LP31410-1.LP15272-5.LP385919-8
2695-5,LP29693-6.LP343631-0.LP7784-4.LP31410-1,LP29693-6.LP343631-0.LP7786-9.LP31410-1.LP15272-5.LP385922-2
2713-6,LP7787-7.LP30605-7.LP29712-4.LP7805-7,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14536-4.LP21258-6.LP383399-5
27382-1,LP29693-6.LP343631-0.LP7786-9.LP14913-5,LP29693-6.LP343631-0.LP7786-9.LP14913-5.LP14481-3.LP386503-9
2777-1,LP29693-6.LP343631-0.LP7786-9.LP31413-5,LP29693-6.LP343631-0.LP7786-9.LP31413-5.LP14912-7.LP386057-6
28073-5,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP16086-8,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP16086-8.LP28541-8.LP391656-8
2842-3,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31660-1,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31660-1.LP14688-3.LP381387-2
2915-7,LP29693-6.LP343631-0.LP7784-4.LP31392-1,LP29693-6.LP343631-0.LP7786-9.LP31392-1.LP15273-3.LP383227-8
2923-1,LP29693-6.LP343631-0.LP7784-4.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31687-4.LP15274-1.LP385105-4
2998-3,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31703-9,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31703-9.LP31688-2.LP15886-2.LP385126-0
3013-0,LP29693-6.LP7844-6.LP32938-0,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31666-8.LP14697-4.LP381503-4
3034-6,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP14885-5.LP15835-9.LP15907-6.LP384716-9
30471-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP28566-5.LP390796-3
3050-2,LP29693-6.LP343631-0.LP7784-4.LP31396-2.LP31666-8.LP15922-5,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP31666-8.LP15922-5.LP15921-7.LP381528-1
3167-4,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP19577-3.LP404292-7
3184-9,LP29693-6.LP7788-5.LP31624-7,LP29693-6.LP7788-5.LP31624-7.LP15959-7.LP207644-8.LP393980-0
3243-3,LP29693-6.LP7798-4.LP32817-6.LP32762-4,LP29693-6.LP7788-5.LP31624-7.LP15984-5.LP394070-9
3255-7,LP29693-6.LP7788-5.LP31624-7,LP29693-6.LP7788-5.LP31624-7.LP14704-8.LP394019-6
3298-7,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP37950-0.LP14712-1.LP388579-7
33959-8,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14649-5,LP29693-6.LP343631-0.LP7786-9.LP31396-2.LP14649-5.LP31682-5.LP381196-7
3414-0,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9
3432-2,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16061-1.LP390763-3
35365-6,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP31696-5.LP33184-0.LP385198-9
3665-7,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP15747-6.LP388969-0
3746-5,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16184-1.LP389968-1
3948-7,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14546-3.LP14729-5.LP390728-6
3968-5,LP29693-6.LP7791-9.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP14732-9.LP390830-0
4073-3,LP29693-6.LP7791-9.LP31449-9.LP18893-5,LP29693-6.LP7790-1.LP18046-0.LP31449-9.LP18893-5.LP14735-2.LP391137-9
4086-5,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7,LP29693-6.LP7790-1.LP18046-0.LP31425-9.LP18892-7.LP16305-2.LP390867-2
4092-3,LP29693-6.LP7791-9.LP31450-7.LP31426-7,LP29693-6.LP7790-1.LP18046-0.LP31450-7.LP31426-7.LP16306-0.LP389062-3
4485-9,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16359-9.LP393725-9
4498-2,LP29693-6.LP7803-2.LP16404-3,LP29693-6.LP7803-2.LP16404-3.LP16371-4.LP393745-7
4542-7,LP29693-6.LP7803-2.LP30786-5.LP30925-9,LP29693-6.LP7803-2.LP30786-5.LP30925-9.LP16411-8.LP393679-8
48792-6,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63141-3.LP385326-6
48793-4,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP64094-3.LP63142-1.LP385327-4
48795-9,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP193274-0.LP385333-2
49752-9,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9
5358-7,LP29693-6.LP7844-6.LP32938-0.LP16762-4,LP29693-6.LP7844-6.LP32938-0.LP16762-4.LP39761-9.LP404042-6
5781-0,LP29693-6.LP7851-1,LP29693-6.LP7803-2.LP30865-7.LP16849-9.LP393799-4
5783-6,LP29693-6.LP7851-1,LP29693-6.LP7851-1.LP16849-9.LP16850-7.LP402418-0
5834-7,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1.LP14061-3.LP36981-6.LP377064-3
58424-3,LP29693-6.LP7790-1.LP18046-0.LP31449-9,LP29693-6.LP7790-1.LP34869-5.LP99250-0.LP391966-1
5902-2,LP29693-6.LP7798-4.LP32817-6.LP32762-4,LP29693-6.LP7788-5.LP31624-7.LP16870-5.LP394044-4
5902-2,LP29693-6.LP7788-5.LP31624-7.LP16870-5,LP29693-6.LP7788-5.LP31624-7.LP16870-5.LP394044-4
61425-5,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP102595-8.LP390115-6
64084-7,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP220260-6.LP265737-9.LP375468-8
6742-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP99295-5.LP393394-4
6864-3,LP29693-6.LP7803-2.LP30786-5.LP31618-9,LP29693-6.LP7803-2.LP30786-5.LP31618-9.LP16455-5.LP393656-6
702-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17274-9.LP393399-3
703-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8.LP17278-0.LP393384-5
71693-6,LP29693-6.LP7844-6,LP29693-6.LP7803-2.LP30786-5.LP19481-8.LP15094-3.LP14597-6.LP66392-9.LP286846-3.LP393238-3
71774-4,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP30609-9.LP18171-6.LP35076-6.LP379744-8
718-7,LP29693-6.LP7851-1.LP40317-7,LP29693-6.LP7803-2.LP30786-5.LP14449-0.LP392452-1
72526-7,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157318-9.LP380330-3
728-6,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0.LP17388-7.LP393445-4
72857-6,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157327-0.LP380326-1
738-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17441-4.LP393434-8
741-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17463-8.LP393436-3
774-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5.LP17644-3.LP393409-0
777-3,LP29693-6.LP7844-6,LP29693-6.LP7803-2.LP30786-5.LP19481-8.LP15094-3.LP14597-6.LP393218-5
7789-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17674-0.LP393397-7
779-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP30906-9.LP393417-3
7790-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17676-5.LP393403-3
800-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17715-1.LP393421-5
802-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17717-7.LP393427-2
8099-4,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6.LP40001-7.LP404049-1
8310-5,LP7787-7.LP7840-4,LP7787-7.LP30605-7.LP29701-7.LP7771-1.LP65487-8.LP416017-4
9317-9,LP29693-6.LP7844-6,LP29693-6.LP7803-2.LP30786-5.LP19481-8.LP15094-3.LP14597-6.LP393218-5
9335-1,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP14542-2.LP404133-3
