_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,human_relation,human_relation:confidence,human_relation_type,human_relation_type:confidence,documentid,gold,human_relation_gold,human_relation_gold_reason,human_relation_type_gold,human_relation_type_gold_reason,text
711477210,TRUE,golden,98,,Personal experience,1,Is prescibed for,0.8398,t17,TRUE,1,The author explicitly relates to an event s/he experienced personally.,2,There is an explicit statement of drug administration.,"I took <font color=""blue"">atenolol</font> as a teen for <font color=""red"">tachycardia</font>."
711477211,TRUE,golden,94,,Question,1,Caused side effect,0.9587,t18,TRUE,5,The author asks about the possibility of two concepts being related.,1,The author asks whether taking a drug could lead to the specified side-effect.,"Has anyone had a <font color=""red"">rash</font> side effect from <font color=""blue"">Lamictal</font>."
711477212,TRUE,golden,95,,Personal experience negated,0.841,Caused side effect,0.6785,t19,TRUE,2,The author relates to an event s/he experienced personally.,1,The author explicitly states NOT experiencing any problems with the drug.,"I have been on <font color=""blue"">lamictal</font> for over a year and I haven't had any problems with the <font color=""red"">rash</font>."
711477213,TRUE,golden,98,,Impersonal experience,0.9641,Caused side effect,0.9641,t20,TRUE,3,There is no explicit statement that the author experienced the event personally.,1,There is an explicit statement that the side-effect is caused by the drug.,"Some people have a problem with <font color=""red"">depression</font> with <font color=""blue"">Yasmin</font> though."
711483482,FALSE,finalized,3,4/30/15 11:04,Impersonal experience,1,Caused side effect,1,1,FALSE,,,,,"I am aware that the DHEA/<font color=""blue"">testosterone</font> could cause <font color=""red"">increased hair growth</font>, although I also took aldactone to combat that side effect and actually had taken the aldactone up until about Feb of this year."
711483483,FALSE,finalized,3,4/29/15 19:56,Impersonal experience,1,Caused side effect,1,2,FALSE,,,,,"<font color=""blue"">Bentyl</font> has similar side effects to Benadryl (also an anticholinergic medication): headache, <font color=""red"">insomnia</font>, heart palpitations, dry mouth, constipation, and urinary retention."
711483484,FALSE,finalized,3,4/29/15 20:45,Personal experience,1,Caused side effect,0.6596,3,FALSE,,,,,"I get <font color=""red"">nonpitting edema</font> from some medications: namely some NSAIDs (Aleve, etc) and some cox2 inhibitors (vioxx) and some statins (<font color=""blue"">simvastatin</font> (Zocor))."
711483485,FALSE,finalized,3,4/29/15 17:02,Impersonal experience,0.6712,Is contraindicated in,0.6712,4,FALSE,,,,,"First of all prednisone is known for giving headaches so if you have <font color=""red"">migraines</font> I would definately NOT take <font color=""blue"">steroids</font>."
711483486,FALSE,finalized,3,4/30/15 8:34,Personal experience,1,Caused side effect,0.6735,5,FALSE,,,,,"Anyway, the nurse thinks it's weird that the <font color=""red"">rash</font> would just be on my hands if it's from the <font color=""blue"">Lisinopril HCTZ</font>."
711483487,FALSE,finalized,3,4/29/15 18:14,Impersonal experience,1,Caused side effect,1,6,FALSE,,,,,"I read on one of the threads awhile ago that <font color=""blue"">riba</font> gives you <font color=""red"">insomnia</font>, so it is better to take the three riba tablets in the morning and the two at night."
711483488,FALSE,finalized,3,4/29/15 17:02,Personal experience,0.6712,Caused side effect,1,7,FALSE,,,,,"6it sure sounds to me like taking <font color=""blue"">iodine</font> makes me MORE <font color=""red"">hypothyroid</font>."
711483489,FALSE,finalized,3,4/30/15 1:33,Personal experience negated,1,Caused side effect,1,8,FALSE,,,,,"I've taken <font color=""blue"">Ambien</font> without having <font color=""red"">hallucinations</font>, however, it gives me a bad stomach-ache the next day."
711483490,FALSE,finalized,3,4/29/15 21:28,Personal experience,1,Caused side effect,1,9,FALSE,,,,,"With <font color=""blue"">Librax</font> and Bentyl, i get <font color=""red"">drowsiness</font>."
711483491,FALSE,finalized,3,4/29/15 16:59,Impersonal experience,1,Caused side effect,1,10,FALSE,,,,,"If you are on <font color=""blue"">insulin</font> and your dosage isn't right you could have <font color=""red"">low blood sugars</font>."
711483492,FALSE,finalized,3,4/29/15 23:12,Personal experience,0.6662,Was effective against,0.6662,11,FALSE,,,,,"Goodluck with your doctors appointment, I'm finding the <font color=""red"">bone gnawing ache</font> is only being helped by the <font color=""blue"">prednisone</font> and that would be lethal for you!"
711483493,FALSE,finalized,3,4/29/15 17:55,Question,0.6809,Caused side effect,0.6809,12,FALSE,,,,,"Can any of the following cause persistent itching of skin and scalp (no <font color=""red"">rash</font>):nexium, <font color=""blue"">zetia</font>, zocor, diazide, benicar, clarinex, arthrotec?"
711483494,FALSE,finalized,3,4/29/15 17:04,Personal experience,1,Caused side effect,1,13,FALSE,,,,,"The <font color=""red"">back pain</font> started after I started <font color=""blue"">Baycol</font>."
711483495,FALSE,finalized,3,4/29/15 17:55,Personal experience,1,Caused side effect,0.6809,14,FALSE,,,,,"Update: This is the third day since i've been using <font color=""blue"">proactiv</font>, i have <font color=""red"">cyst</font> on my chin, it's slightly pianful, inflamed."
711483496,FALSE,finalized,3,4/29/15 18:32,Personal experience,1,Caused side effect,1,15,FALSE,,,,,"I went from <font color=""blue"">dilantin</font> to tegretol because of elevated <font color=""red"">liver enzymes</font>."
711483497,FALSE,finalized,3,4/29/15 23:18,Personal experience,0.6939,Was effective against,0.6735,16,FALSE,,,,,"i get <font color=""red"">migraine</font>'s like everyday, and i don't like pain pills but i take <font color=""blue"">zyprexa</font> can i still met a doctor to get medical marijuana?"
711483498,FALSE,finalized,3,4/29/15 18:32,Personal experience,0.6786,Caused side effect,1,17,FALSE,,,,,"WELL, I told her my concerns with the <font color=""blue"">Humira</font> ( more <font color=""red"">infections</font> ), and asked her if she could recommend some natural supplements that I could add to my treatment..."
711483499,FALSE,finalized,3,4/30/15 2:14,Personal experience,1,Caused side effect,0.6275,18,FALSE,,,,,"I started <font color=""blue"">Enbrel</font> a year ago and recently had an <font color=""red"">infection</font> that required me to stop the Enbrel."
711483500,FALSE,finalized,3,4/29/15 18:59,Personal experience,1,Was effective against,0.6596,19,FALSE,,,,,"For me(<font color=""red"">Ms</font> No Willpower ), <font color=""blue"">Chantix</font> is a miracle!"
711483501,FALSE,finalized,3,4/29/15 17:00,Impersonal experience negated,0.6596,Caused side effect,1,20,FALSE,,,,,"Actually it is not a given that if you are on <font color=""blue"">remicade</font> that you get more <font color=""red"">infections</font>."
711483502,FALSE,finalized,3,4/30/15 2:16,Impersonal experience,0.6415,Caused side effect,1,21,FALSE,,,,,"You will experience next day <font color=""red"">drowsiness</font> with the <font color=""blue"">trazadone</font> and it can be pretty severe."
711483503,FALSE,finalized,3,4/30/15 1:33,Impersonal experience,1,Other,0.3632,22,FALSE,,,,,"You could try <font color=""blue"">benzoyl peroxide</font> or before you go to bed, you can put honey on a q tip, spread it around on the <font color=""red"">pimple</font>, and then cover it with a band aid."
711483504,FALSE,finalized,3,4/29/15 22:55,Impersonal experience negated,0.6667,Caused side effect,0.6667,23,FALSE,,,,,"If vaccines did truly cause diabetes, the stimulation of the immune system they cause would mean you would develop <font color=""red"">diabetes</font> in a matter of months after the <font color=""blue"">vaccine</font>."
711483505,FALSE,finalized,3,4/30/15 4:31,Personal experience,0.68,Other,0.38,24,FALSE,,,,,"The lithium caused <font color=""red"">stomach problems</font>, and he is now taking <font color=""blue"">depakote</font>, seraquel, clonazapam, and remeron."
711483506,FALSE,finalized,3,4/29/15 18:00,Personal experience,1,Caused side effect,1,25,FALSE,,,,,"RE: The original post, though: I was put on <font color=""blue"">Remicade</font> and only lasted a few months on it - I had reactions to it immediately, varying from rashes, <font color=""red"">hives</font> and eczema."
711483507,FALSE,finalized,3,4/29/15 18:51,Personal experience,0.6739,Was effective against,1,26,FALSE,,,,,"I agree that high <font color=""blue"">doses of Vitamin C</font> stops the <font color=""red"">itching</font> and will be cutting out sugar and caffeine again as I've read that can help."
711483508,FALSE,finalized,3,4/30/15 10:36,Impersonal experience,1,Caused side effect,1,27,FALSE,,,,,"It's very common with <font color=""blue"">morphine</font> and not a reason to discontinue morphine if the only negative side effect is <font color=""red"">sleepyness</font>."
711483509,FALSE,finalized,3,4/30/15 8:26,Impersonal experience,1,Caused side effect,1,28,FALSE,,,,,"The doctors seem to like Risperal but it does cause <font color=""red"">weight gain</font> a lot like <font color=""blue"">Abilify</font>."
711483510,FALSE,finalized,3,4/29/15 22:31,Personal experience,0.6939,Caused side effect,0.6735,29,FALSE,,,,,"Second it does cause <font color=""red"">weight gain</font> when combined with Zyprexa and Risperdal, but not when I am on Risperdal, <font color=""blue"">Zyprexa</font>, Seroquel, Geodon, and Abilify."
711483511,FALSE,finalized,3,4/29/15 17:02,Personal experience,1,Caused side effect,1,30,FALSE,,,,,"Sunny,  I too take Lyrica and Cymbalta and have taken Cymbalta for aver a year now and <font color=""blue"">Lyrica</font> for about 10 months and my fee just started <font color=""red"">swelling</font> after I had a minor surgery."
711483512,FALSE,finalized,3,4/30/15 3:42,Impersonal experience,0.64,Caused side effect,1,31,FALSE,,,,,"If you didn't have <font color=""red"">hair loss</font> from lupus before though, the <font color=""blue"">Azathioprine</font> may be the cause."
711483513,FALSE,finalized,3,4/29/15 21:28,Impersonal experience,1,Caused side effect,1,32,FALSE,,,,,"<font color=""red"">Weight loss</font> is a known side effect of <font color=""blue"">Orencia</font>."
711483514,FALSE,finalized,3,4/29/15 16:57,Impersonal experience,1,Caused side effect,1,33,FALSE,,,,,"<font color=""blue"">Insulin</font> and some oral medications can cause blood glucose levels to become dangerously low (<font color=""red"">hypoglycemia</font>)."
711483515,FALSE,finalized,3,4/30/15 2:04,Question,1,Caused side effect,1,34,FALSE,,,,,"could it be possible that all the <font color=""red"">bleeding</font> is due to the <font color=""blue"">coumadin</font>?"
711483516,FALSE,finalized,3,4/29/15 19:37,Personal experience,1,Caused side effect,1,35,FALSE,,,,,"After a week of using <font color=""blue"">NOvorapid</font> and Lantus and having a terrible <font color=""red"">rash</font>, it was discovered that I am allergic to Novorapid and have been put on to Humalog."
711483517,FALSE,finalized,3,4/30/15 3:27,Personal experience,1,Caused side effect,1,36,FALSE,,,,,"When I was taken <font color=""blue"">requip</font> it made me very <font color=""red"">nauseated</font> and then someone told me to split the dosage."
711483518,FALSE,finalized,3,4/29/15 22:40,Personal experience,1,Caused side effect,0.6735,37,FALSE,,,,,"After, it was like constant <font color=""red"">diarrhea</font>, and I took some <font color=""blue"">probiotics</font> which seemed to slow things down some."
711483519,FALSE,finalized,3,4/29/15 18:06,Personal experience,0.6667,Is prescibed for,0.6667,38,FALSE,,,,,"I have treated with <font color=""blue"">permethrin cream</font> 3 times in the last month, and I am still <font color=""red"">itching</font>."
711483520,FALSE,finalized,3,4/30/15 0:28,Personal experience,0.6667,Caused side effect,1,39,FALSE,,,,,"Gabapentin did nothing but <font color=""blue"">pregabalin</font> worked well, the 3 1/2st <font color=""red"">weight gain</font> was enough to make me come off of it tho ..."
711483521,FALSE,finalized,3,4/30/15 1:58,Personal experience,0.62,Is prescibed for,0.62,40,FALSE,,,,,"will prescribe compazine or <font color=""blue"">zofran</font> for the nausea and maybe Ultracet / tramadol for your <font color=""red"">headaches</font>."
711483522,FALSE,finalized,3,4/29/15 18:23,Impersonal experience,1,Caused side effect,1,41,FALSE,,,,,"<font color=""blue"">Accutane</font> is known to cause blueness and <font color=""red"">aggression</font>."
711483523,FALSE,finalized,3,4/29/15 22:17,Question,0.6884,Caused side effect,1,42,FALSE,,,,,"I do have a little <font color=""red"">headache</font> but I sometimes get one during my period or could it be the <font color=""blue"">clomid</font> itself?"
711483524,FALSE,finalized,3,4/29/15 17:00,Personal experience,1,Caused side effect,1,43,FALSE,,,,,"Thanks all feel like im going mad at the moment the morning anxiety was so bad yesterday I got up took <font color=""blue"">paracetamol</font> for the headache valerian and 5htp then felt <font color=""red"">dizzy</font> and zonked out all day."
711483525,FALSE,finalized,3,4/30/15 2:18,Personal experience,1,Caused side effect,1,44,FALSE,,,,,"I find if I have less than 5g carbs, the <font color=""blue"">Byetta</font> makes me feel <font color=""red"">nauseous</font> - around 8-10g for breakfast works best, then with my dinner shot, 35-50g carbs is fine."
711483526,FALSE,finalized,3,4/29/15 20:50,Impersonal experience,1,Caused side effect,1,45,FALSE,,,,,"The <font color=""red"">vertigo</font> is the worse withdraw symptom from <font color=""blue"">zoloft</font>."
711483527,FALSE,finalized,3,4/29/15 22:11,Impersonal experience,1,Caused side effect,1,46,FALSE,,,,,"kristigraham					replied June 17th, 2011					Community Volunteer 				    												    				    										    																		<font color=""blue"">Seasonique</font> is well known for breakthrough bleeding and <font color=""red"">spotting</font> and it is likely just that."
711483528,FALSE,finalized,3,4/29/15 16:37,Personal experience,1,Caused side effect,1,47,FALSE,,,,,"When I first took <font color=""blue"">metformin 500mgs</font> twice a day (right after my hospital stay on first diagnosis of type 2), I experienced the <font color=""red"">nausea</font>, stomach ache, heartburn, headache and gas side effects."
711483529,FALSE,finalized,3,4/30/15 6:08,Impersonal experience,0.64,Caused side effect,1,48,FALSE,,,,,"Urticaria pigmentosa is usually caused by an excess of inflammatory mast cells that release <font color=""blue"">histamine</font> which leads to swelling, <font color=""red"">itchiness</font> and redness in the affected area."
711483530,FALSE,finalized,3,4/30/15 10:38,Impersonal experience,1,Was effective against,0.6875,49,FALSE,,,,,"<font color=""blue"">Viagra</font>, Levitra, or Cialis take every other day will reduce <font color=""red"">high blood pressure</font>."
711483531,FALSE,finalized,3,4/30/15 3:48,Personal experience,1,Caused side effect,1,50,FALSE,,,,,"I also afraid to try anti-depressants, tried <font color=""blue"">Effexor</font> for 2 months, had horrible <font color=""red"">nightmares</font> and stopped the medication."
711483532,FALSE,finalized,3,4/29/15 23:12,Personal experience negated,0.6677,Caused side effect,0.6677,51,FALSE,,,,,"I was totally out for my D&C and did have some pain afterwards, but, <font color=""blue"">advil</font> did the trick, and, I did not have any <font color=""red"">bleeding</font> at all."
711483533,FALSE,finalized,3,4/29/15 17:47,Personal experience,0.6739,Is prescibed for,0.6739,52,FALSE,,,,,"She has not gotten her period since the initial <font color=""red"">bleeding</font> after the pregnancy, and then one period two days after starting the <font color=""blue"">Micronor</font>, so we wouldn't even know if she is late."
711483534,FALSE,finalized,3,4/29/15 17:02,Personal experience,0.6712,Caused side effect,1,53,FALSE,,,,,"Depakote use for movements and inattentionOur son has been <font color=""blue"">Risperidone</font> for a few months and although the aggressionhas come down substantially, his <font color=""red"">movement disorder</font> has increased."
711483535,FALSE,finalized,3,4/29/15 17:04,Impersonal experience,1,Caused side effect,1,54,FALSE,,,,,"But read this about Zocor:-"" Zocor Users Not Warned of Risks: The FDA's June 2011 safety alert is the most serious of many warnings regarding <font color=""blue"">Zocor</font> and associated risks of myopathy and <font color=""red"">rhabdomyolysis</font>."
711483536,FALSE,finalized,3,4/29/15 21:26,Personal experience,0.6872,Other,0.6872,55,FALSE,,,,,"i would put aquaphor and <font color=""blue"">antibiotic</font> it only help for few minutes after itching wouldn't stop i scratched and scratched i <font color=""red"">bleed</font> the more i have scratch the bigger its gotten since."
711483537,FALSE,finalized,3,4/29/15 19:28,Personal experience,1,Caused side effect,1,56,FALSE,,,,,"I recently started taking <font color=""blue"">Savella</font> and I have constant <font color=""red"">headaches</font>, sore throat, ear ache, trouble sleeping and now I have severe jaw pain that comes and goes."
711483538,FALSE,finalized,3,4/29/15 19:20,Impersonal experience,0.6667,Caused side effect,1,57,FALSE,,,,,"Hi Elinor, The <font color=""red"">twitching</font> comes from the <font color=""blue"">mestinon</font>."
711483539,FALSE,finalized,3,4/29/15 18:00,Personal experience,1,Other,0.6522,58,FALSE,,,,,"5cm <font color=""red"">ovarian cyst</font> and my <font color=""blue"">estradiol</font> level was 380."
711483540,FALSE,finalized,3,4/30/15 2:33,Personal experience,1,Was effective against,0.7115,59,FALSE,,,,,"I take 300 mg ultram a day and <font color=""blue"">300 mg Lyrica</font> a day and it's helped a bunch with my <font color=""red"">fatigue</font>."
711483541,FALSE,finalized,3,4/29/15 18:33,Personal experience,1,Caused side effect,1,60,FALSE,,,,,"I took <font color=""blue"">Mobic</font> for joint pain at the beginning, but it gave me an <font color=""red"">ulcer</font> so I went off it and have since controlled my joint pain with weekly acupuncture, which has been remarkable."
711483542,FALSE,finalized,3,4/29/15 19:43,Personal experience,1,Caused side effect,0.6327,61,FALSE,,,,,"Shortly after I have <font color=""red"">discomfort</font> urinating and went to my regular doctor for <font color=""blue"">antibiotics</font>."
711483543,FALSE,finalized,3,4/29/15 21:03,Impersonal experience,1,Caused side effect,1,62,FALSE,,,,,"It ONLY affects dopamine, not serotonin so there are no sexual side effects   Side effects listed for <font color=""blue"">Emsam</font> include <font color=""red"">abnormal ejaculation</font>, decreased libido, impotence and anorgasmia."
711483544,FALSE,finalized,3,4/29/15 18:59,Personal experience,1,Is prescibed for,0.6667,63,FALSE,,,,,"Dmarie129					replied October 15th, 2012					  				    												    				    										    																		I am currently on Cefdinir 300mg for what is thought to be a bad <font color=""red"">UTI</font> and <font color=""blue"">oxycodone 5mg</font> for any pain."
711483545,FALSE,finalized,3,4/30/15 10:41,Personal experience,0.66,Caused side effect,1,64,FALSE,,,,,"I have gained so much weight since diagnosed, was told the <font color=""blue"">insulin</font> causes <font color=""red"">weight gain</font> (on Lantus and Apidra)."
711483546,FALSE,finalized,3,4/30/15 7:02,Personal experience negated,0.6531,Caused side effect,1,65,FALSE,,,,,"I stand corrected regarding my own personal opinion about <font color=""blue"">Metformin</font> not being the causal effect of <font color=""red"">leg cramps</font> - judging byfinntasticemma's experience."
711483547,FALSE,finalized,3,4/29/15 17:28,Impersonal experience,0.6766,Is prescibed for,0.6766,66,FALSE,,,,,"A drug prepared from natural or synthetic <font color=""blue"">progesterone</font>, used in the prevention of miscarriage, in the treatment of <font color=""red"">menstrual disorders</font>, and as a constituent of some oral contraceptives."
711483548,FALSE,finalized,3,4/29/15 23:12,Personal experience,0.6471,Caused side effect,0.6471,67,FALSE,,,,,"I've been on <font color=""blue"">Levemir</font> for about 6-7 years now and experienced the red lumps and <font color=""red"">bruising</font> badly when I first started injecting."
711483549,FALSE,finalized,3,4/29/15 18:03,Personal experience,1,Caused side effect,1,68,FALSE,,,,,"Meema, I do notice more <font color=""red"">drowsiness</font> now during the day (as opposed to the lethargy I used to have), which I think is the <font color=""blue"">Elavil</font>."
711483550,FALSE,finalized,3,4/29/15 17:04,Impersonal experience,0.6677,Caused side effect,1,69,FALSE,,,,,"I talked to the RE office and one of the nurses told me to stop taking <font color=""blue"">clomid</font> if I have blurred vision or <font color=""red"">issues with my eyes</font>."
711483551,FALSE,finalized,3,4/30/15 8:51,Question,1,Is prescibed for,1,70,FALSE,,,,,"Is there a drug or supplement like Megace (<font color=""blue"">megestrol</font>) that I can take for <font color=""red"">weight gain</font> that can be purchased over the counter?"
711483552,FALSE,finalized,3,4/30/15 3:31,Personal experience,1,Was effective against,0.64,71,FALSE,,,,,"My <font color=""red"">migraines</font> start about 2 am when I'm out of <font color=""blue"">steroids</font> in my system, so I take a small dose and try to go back to sleep."
711483553,FALSE,finalized,3,4/29/15 20:45,Impersonal experience negated,0.6809,Caused side effect,0.6809,72,FALSE,,,,,"A doctor friend of mine told me that <font color=""blue"">Elidel</font>'s <font color=""red"">cancer</font> links are unfounded."
711483554,FALSE,finalized,3,4/29/15 19:59,Personal experience,0.6735,Caused side effect,0.6735,73,FALSE,,,,,"5mg klonopin and when I feel that <font color=""red"">shakiness</font> it feels like I have not taken my <font color=""blue"">klonopin</font> - I feel that it is setting me up to take more of the klonopin than I want to."
711483555,FALSE,finalized,3,4/29/15 17:00,Impersonal experience,1,Caused side effect,1,74,FALSE,,,,,"Psyche wrote:   <quoted text>I'm talking about deaths that result from <font color=""red"">respiratory depression</font> as a result of a buildup of <font color=""blue"">Methadone</font> in ones system especially when mixed with benzodiazepines or alcohol."
711483556,FALSE,finalized,3,4/29/15 18:00,Personal experience,1,Caused side effect,0.6939,75,FALSE,,,,,"Recently I switched from <font color=""blue"">Wellbutrin</font> to Celexa and became very <font color=""red"">nauseaus</font>, fatigued..."
711483557,FALSE,finalized,3,4/29/15 17:19,Impersonal experience,0.6551,Caused side effect,1,76,FALSE,,,,,"Also, I think there's a post either on here or on the Anxiety board about someone having <font color=""red"">hair loss</font> from <font color=""blue"">klonopin</font> (clonazepam)."
711483558,FALSE,finalized,3,4/29/15 18:09,Question,1,Caused side effect,1,77,FALSE,,,,,"Has anyone had the <font color=""blue"">Levemir</font> give them crazy muscle aches or <font color=""red"">tiredness</font>?"
711483559,FALSE,finalized,3,4/29/15 22:39,Personal experience,0.68,Caused side effect,1,78,FALSE,,,,,"I'd stay away from vitamins for now, some vitamins can make <font color=""red"">diarrhea</font> worse like C and <font color=""blue"">magnesium</font>."
711483560,FALSE,finalized,3,4/29/15 18:33,Personal experience,1,Is prescibed for,1,79,FALSE,,,,,"The nurse practitioner gave me a needle for the pain, and then prescribed me <font color=""blue"">naproxen</font> for the pain and cyclobenzaprine for the <font color=""red"">spasms</font>."
711483561,FALSE,finalized,3,4/30/15 8:50,Personal experience,1,Is prescibed for,0.3459,80,FALSE,,,,,"I've been on <font color=""blue"">Glucovance</font> (chronic diarrhea) and am now on Glyburide (<font color=""red"">weight gain</font>)."
711483562,FALSE,finalized,3,4/29/15 18:00,Impersonal experience,1,Caused side effect,1,81,FALSE,,,,,"Clinique-One of the side effects of <font color=""blue"">Trileptal</font> is <font color=""red"">hyponatremia</font>, which is an abnormally low concentration of sodium in the blood."
711483563,FALSE,finalized,3,4/29/15 17:13,Personal experience,1,Other,0.38,82,FALSE,,,,,"So far I haven't had any more <font color=""red"">palpitations</font> but I still occasionally have the left sided headache even after the <font color=""blue"">prednisolone</font>(steriod) and gabapentin."
711483564,FALSE,finalized,3,4/29/15 16:42,Personal experience,1,Was effective against,0.6739,83,FALSE,,,,,"Now I'm on <font color=""blue"">steroids</font> and the <font color=""red"">headache</font> is gone."
711483565,FALSE,finalized,3,4/29/15 17:13,Personal experience,0.62,Caused side effect,1,84,FALSE,,,,,"I am also on <font color=""blue"">metformin</font> which is sometimes associated with <font color=""red"">muscle pain</font>, too but I can't drop that because I need it to keep my bgs low."
711483566,FALSE,finalized,3,4/29/15 17:02,Impersonal experience,0.3425,Caused side effect,0.6712,85,FALSE,,,,,"Sometimes steroid-induced diabetes is an early indicator and the person will develop <font color=""red"">diabetes</font> later in life even when not taking <font color=""blue"">steroids</font>."
711483567,FALSE,finalized,3,4/29/15 22:24,Personal experience,0.7059,Was effective against,0.3529,86,FALSE,,,,,"I stopped <font color=""blue"">Cymbalta</font> on my own and had <font color=""red"">hallucinations</font> for three days!"
711483568,FALSE,finalized,3,4/29/15 21:06,Impersonal experience,1,Caused side effect,1,87,FALSE,,,,,"One reported side effect of <font color=""blue"">Gabapentin</font> is <font color=""red"">weight gain</font>."
711483569,FALSE,finalized,3,4/30/15 8:38,Personal experience,1,Other,0.6693,88,FALSE,,,,,"Im cycling with Bravelle, <font color=""blue"">Menopur</font>, & Ganirelex with <font color=""red"">hcg</font> shot of Ovidrel!"
711483570,FALSE,finalized,3,4/30/15 3:27,Impersonal experience,0.6875,Caused side effect,1,89,FALSE,,,,,"we are still convinced the use of <font color=""blue"">lipitor</font> caused both <font color=""red"">shingles</font> and parkinson's diseaase."
711483571,FALSE,finalized,3,4/30/15 6:23,Personal experience,1,Caused side effect,1,90,FALSE,,,,,"My neuro has me transitioning from Keppra (side effect problem) to <font color=""blue"">Lamictal</font> and, for the first time in my life, I'm afflicted with severe <font color=""red"">constipation</font>."
