disease name,other names,RX/OTC,drug,generic name,drug class,brand names,pregnancy label,CSA label
abortion,complete abortion,rx,dinoprostone,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n
abortion,complete abortion,rx,prepidil,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n
acetaminophen overdose,acetaminophen toxicity,rx/otc,acetylcysteine,acetylcysteine,antidotes,nac|n-a-c sustain,b,n
acetaminophen overdose,acetaminophen toxicity,rx,acetadote,,antidotes,,b,n
acidosis,acidosislactic|acidosisrespiratory,rx/otc,sodium bicarbonate,sodium bicarbonate,antacids,neut,c,n
acne rosacea,acne rosacea,rx,doxycycline,doxycycline,miscellaneous-antimalarials,,d,n
acne rosacea,acne rosacea,rx,metronidazole,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n
acne rosacea,acne rosacea,rx,metrogel,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n
acne rosacea,acne rosacea,rx,finacea,azelaic acid topical,topical-acne-agents,,b,n
acne rosacea,acne rosacea,rx,oracea,doxycycline,miscellaneous-antimalarials,,d,n
acne rosacea,acne rosacea,rx,minocycline,minocycline,tetracyclines,,d,n
acne rosacea,acne rosacea,rx,soolantra,,topical-anti-infectives,,c,n
acne rosacea,acne rosacea,rx,doryx,doxycycline delayed-release tablets,miscellaneous-antimalarials,doryx,d,n
acne rosacea,acne rosacea,rx,metrocream,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n
acne rosacea,acne rosacea,rx,mirvaso,brimonidine topical,topical-anti-rosacea-agents,,b,n
acne rosacea,acne rosacea,rx,azelex,azelaic acid topical,topical-acne-agents,azelex|finacea|finacea plus,b,n
acne rosacea,acne rosacea,rx,azelaic acid,azelaic acid topical,topical-acne-agents,azelex|finacea|finacea plus|finevin,b,n
acne rosacea,acne rosacea,rx,doxy 100,doxycycline injection,miscellaneous-antimalarials,doxy 100,d,n
acne rosacea,acne rosacea,rx,solodyn,minocycline,tetracyclines,,d,n
acne rosacea,acne rosacea,rx,monodox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
acne rosacea,acne rosacea,rx,noritate,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n
acne rosacea,acne rosacea,rx,sulfacetamide sodium|sulfur,sulfacetamide sodium/sulfur topical,topical-antibiotics,avar|bp 10-wash|clarifoam ef|garimide|plexion|prascion cleanser|rosanil cleanser|rosula|sulfacleans 8/4|sumadan|sumaxin|suphera|virti-sulf|zencia wash|sulfacet-r|zetacet|plexion cleanser|plexion ts|rosula cleanser|nicosyn|avar cleanser|clenia foaming wash|clenia emollient cream|avar gel|avar green|rosac|avar-e emollient|avar-e green|rosaderm cleanser|zetacet wash|plexion sct|plexion cleansing cloths|sulfatol|sulfatol cleanser|prascion fc cloths|prascion ra|rosula clarifying wash|prascion|rosac wash|topisulf|sulfatol c|sulzee wash|sulfatol ss|sumaxin wash|avar ls cleanser|avar-e ls|se 10-5 ss|avar-e|sumaxin ts|sumadan wash|sumaxin cp|avar ls|sumadan xlt|rosula wash|novacet|sulfacet-r|zetacet|plexion cleanser|plexion ts|rosula cleanser|nicosyn|avar cleanser|clenia foaming wash|clenia emollient cream|avar gel|avar green|rosac|avar-e emollient|avar-e green|rosaderm cleanser|zetacet wash|plexion sct|plexion cleansing cloths|sulfatol (obsolete)|sulfatol cleanser (obsolete)|prascion fc cloths|prascion ra|rosula clarifying wash (obsolete)|prascion|rosac wash|topisulf|sulfatol c|sulzee wash|sulfatol ss|sumaxin wash|avar ls cleanser|avar-e ls|se 10-5 ss|avar-e|sumaxin ts|sumadan wash|sumaxin cp|avar ls|sumadan xlt|rosula wash,c,n
acne rosacea,acne rosacea,rx,minocin,minocycline,tetracyclines,dynacin|minocin|minocin pac|solodyn|ximino,d,n
acne rosacea,acne rosacea,rx,isotretinoin,isotretinoin,miscellaneous-antineoplastics,absorica|amnesteem|claravis|myorisan|sotret|zenatane|accutane|absorica ld,x,n
acne rosacea,acne rosacea,rx,ivermectin,ivermectin cream,topical-anti-infectives,soolantra,c,n
acne rosacea,acne rosacea,rx,metrolotion,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n
acne rosacea,acne rosacea,rx,vibramycin,doxycycline suspension,miscellaneous-antimalarials,vibramycin,d,n
acne rosacea,acne rosacea,rx,brimonidine,brimonidine topical,topical-anti-rosacea-agents,mirvaso|mirvaso pump,b,n
acne rosacea,acne rosacea,rx,doryx mpc,doxycycline,,,d,n
acne rosacea,acne rosacea,rx,morgidox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,doxycycline,doxycycline,miscellaneous-antimalarials,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,spironolactone,spironolactone,aldosterone-receptor-antagonists,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,minocycline,minocycline,tetracyclines,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,aldactone,spironolactone,aldosterone-receptor-antagonists,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,clindamycin,clindamycin topical,topical-acne-agents,cleocin t|clindacin etz|clindacin p|clindagel|evoclin,b,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tretinoin,tretinoin topical,topical-acne-agents,altreno|atralin|avita|refissa|renova|retin-a|tretinoin emollient topical,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,bactrim,sulfamethoxazole/trimethoprim,sulfonamides,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,isotretinoin,isotretinoin,miscellaneous-antineoplastics,absorica|amnesteem|claravis|myorisan|sotret|zenatane|accutane|absorica ld,x,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,retin-a,retin-a,topical-acne-agents,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,epiduo,adapalene/benzoyl peroxide,topical-acne-agents,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,aczone,dapsone topical,topical-acne-agents,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,differin,adapalene topical,topical-acne-agents,,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,benzoyl peroxide,benzoyl peroxide topical,topical-acne-agents,acne-clear|benzac ac|benzepro|benziq|brevoxyl acne wash kit|clearskin|fostex wash 10%|neobenz micro|neutrogena acne mask|oscion|oxy daily wash|oxy-10|pacnex|panoxyl|persa-gel|riax|soluclenz rx|triaz|desquam-x 10|benzashave 5|benzashave 10|panoxyl aq 2.5|desquam-e|benzac w|brevoxyl|panoxyl aq 5|panoxyl 5|desquam-x 5|persa-gel w|benzagel-5|clearplex|panoxyl 10|panoxyl aq 10|benzagel-10|peroxin a 10|desquam-x wash|triaz cleanser|benoxyl 5|acne treatment|ben-aqua|del-aqua|peroxin a|zeroxin|acne-10|benoxyl 10|fostex bar 10%|fostex gel 10%|clear by design|loroxide|vanoxide|oxy vanishing gel|neutrogena on spot acne treatment|seba-gel|brevoxyl creamy wash|clinac bpo|benzagel wash|ethexderm|oxy 10 balance|zaclir|oxy balance|benziq ls|benziq wash|zoderm redi-pads|panoxyl aqua gel|oscion cleanser|inova|neobenz micro sd|lavoclen-4 creamy wash|lavoclen-8 creamy wash|oxy daily wash chill factor|oxy spot treatment|panoxyl maximum strength foaming acne wash|lavoclen-4|lavoclen-8|breze|brevoxyl-4 creamy wash complete pack|brevoxyl-8 creamy wash complete pack|neobenz micro wash|neobenz micro wash plus pack|triaz foaming cloths|triaz pads|benzefoam|pacnex mx wash|neobenz micro cream plus pack|benzac ac wash|bpo foaming cloths|pacnex hp|pacnex lp|benzefoam ultra|bp cleansing lotion|bp wash|oc8|delos|bpo|pr benzoyl peroxide wash|differin daily deep cleanser|benzac|desquam-x 10|benzashave 5|benzashave 10|panoxyl aq 2.5|desquam-e|benzac w|brevoxyl|panoxyl aq 5|panoxyl 5|desquam-x 5|persa-gel w|benzagel-5|clearplex|panoxyl 10|panoxyl aq 10|benzagel-10|peroxin a 10|desquam-x wash|triaz cleanser|benoxyl 5|acne treatment|ben-aqua|del-aqua|peroxin a|zeroxin|acne-10|benoxyl 10|fostex bar 10%|fostex gel 10%|clear by design|loroxide|vanoxide|oxy vanishing gel|neutrogena on spot acne treatment|seba-gel|brevoxyl creamy wash|clinac bpo|benzagel wash|ethexderm|oxy 10 balance|zaclir|oxy balance|benziq ls|benziq wash|zoderm redi-pads (obsolete)|panoxyl aqua gel|oscion cleanser|inova|neobenz micro sd|lavoclen-4 creamy wash|lavoclen-8 creamy wash|oxy daily wash chill factor|oxy spot treatment|panoxyl maximum strength foaming acne wash|lavoclen-4|lavoclen-8|breze|brevoxyl-4 creamy wash complete pack|brevoxyl-8 creamy wash complete pack|neobenz micro wash|neobenz micro wash plus pack|triaz foaming cloths|triaz pads|benzefoam|pacnex mx wash|neobenz micro cream plus pack|benzac ac wash|bpo foaming cloths|pacnex hp|pacnex lp|benzefoam ultra|bp cleansing lotion|bp wash|oc8|delos|bpo|pr benzoyl peroxide wash|differin daily deep cleanser,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,solodyn,minocycline,tetracyclines,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,doryx,doxycycline delayed-release tablets,miscellaneous-antimalarials,doryx,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,adapalene,adapalene topical,topical-acne-agents,differin|plixda,c,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,septra,sulfamethoxazole/trimethoprim,sulfonamides,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tetracycline,tetracycline,tetracyclines,,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,sulfamethoxazole|trimethoprim,sulfamethoxazole/trimethoprim,sulfonamides,bactrim|bactrim ds|bactrim i.v.|septra i.v.|smz-tmp ds|sulfatrim pediatric|sulfatrim|bethaprim|cotrim|uroplus|uroplus ds|cotrim ds|bactrim pediatric|bethaprim pediatric|sulfatrim suspension|cotrim pediatric|septra ds|septra|sulfatrim|bethaprim|cotrim|uroplus|uroplus ds|cotrim ds|bactrim pediatric|bethaprim pediatric|sulfatrim suspension|cotrim pediatric|septra ds,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tazorac,tazarotene topical,topical-acne-agents,arazlo|avage|fabior|tazorac,x,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,cephalexin,cephalexin,first-generation-cephalosporins,,b,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,vibramycin,doxycycline suspension,miscellaneous-antimalarials,vibramycin,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,acticlate,doxycycline tablets/capsules,tetracyclines,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,bactrim ds,sulfamethoxazole/trimethoprim tablets,sulfonamides,bactrim|bactrim ds,d,n
acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,benzaclin,benzoyl peroxide/clindamycin topical,topical-acne-agents,,c,n
acromegaly,,rx,sandostatin lar depot,octreotide,somatostatin-and-somatostatin-analogs,sandostatin|sandostatin lar depot,b,n
acromegaly,,rx,somavert,pegvisomant,growth-hormone-receptor-blockers,,b,n
acromegaly,,rx,bromocriptine,bromocriptine,dopaminergic-antiparkinsonism-agents,parlodel,b,n
acromegaly,,rx,somatuline depot,lanreotide,somatostatin-and-somatostatin-analogs,,c,n
acromegaly,,rx,parlodel,bromocriptine,dopaminergic-antiparkinsonism-agents,parlodel,b,n
acromegaly,,rx,sandostatin,octreotide,somatostatin-and-somatostatin-analogs,,b,n
acromegaly,,rx,octreotide,octreotide,somatostatin-and-somatostatin-analogs,sandostatin|sandostatin lar depot|benfyzia,b,n
acromegaly,,rx,pegvisomant,pegvisomant,growth-hormone-receptor-blockers,somavert,b,n
acromegaly,,rx,lanreotide,lanreotide,somatostatin-and-somatostatin-analogs,somatuline depot,c,n
acromegaly,,rx,pasireotide,pasireotide,somatostatin-and-somatostatin-analogs,signifor|signifor lar,c,n
acromegaly,,rx,signifor lar,pasireotide,somatostatin-and-somatostatin-analogs,signifor|signifor lar,c,n
actinic keratosis,,rx,fluorouracil,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak|efudex occlusion pack,x,n
actinic keratosis,,rx,efudex,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n
actinic keratosis,,rx,picato,ingenol topical,topical-antineoplastics,,c,n
actinic keratosis,,rx,carac,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n
actinic keratosis,,rx,tolak,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n
actinic keratosis,,rx,fluoroplex,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n
actinic keratosis,,rx,aminolevulinic acid,aminolevulinic acid,topical-photochemotherapeutics,ameluz|levulan kerastick,c,n
actinic keratosis,,rx,ingenol,ingenol topical,topical-antineoplastics,picato,c,n
actinic keratosis,,rx,ameluz,aminolevulinic acid,topical-photochemotherapeutics,ameluz|levulan kerastick,c,n
actinomycosis,lumpy jaw,rx,amoxicillin,amoxicillin,aminopenicillins,,b,n
actinomycosis,lumpy jaw,rx,doxycycline,doxycycline,miscellaneous-antimalarials,,d,n
actinomycosis,lumpy jaw,rx,amoxil,amoxicillin,aminopenicillins,,b,n
actinomycosis,lumpy jaw,rx,minocycline,minocycline,tetracyclines,,d,n
actinomycosis,lumpy jaw,rx,doxy 100,doxycycline injection,miscellaneous-antimalarials,doxy 100,d,n
actinomycosis,lumpy jaw,rx,vibramycin,doxycycline suspension,miscellaneous-antimalarials,vibramycin,d,n
actinomycosis,lumpy jaw,rx,doryx,doxycycline delayed-release tablets,miscellaneous-antimalarials,doryx,d,n
actinomycosis,lumpy jaw,rx,monodox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
actinomycosis,lumpy jaw,rx,apo-amoxi,amoxicillin,aminopenicillins,,b,n
actinomycosis,lumpy jaw,rx,minocin,minocycline,tetracyclines,dynacin|minocin|minocin pac|solodyn|ximino,d,n
actinomycosis,lumpy jaw,rx,doryx mpc,doxycycline,,,d,n
actinomycosis,lumpy jaw,rx,morgidox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
actinomycosis,lumpy jaw,rx,oraxyl,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n
actinomycosis,lumpy jaw,rx,penicillin g sodium,penicillin g sodium,natural-penicillins,,b,n
actinomycosis,lumpy jaw,rx,ximino,minocycline,tetracyclines,dynacin|minocin|minocin pac|solodyn|ximino,d,n
actinomycosis,lumpy jaw,rx,dynacin,minocycline,tetracyclines,dynacin|minocin|minocin pac|solodyn|ximino,d,n
actinomycosis,lumpy jaw,rx,penicillin g potassium,penicillin g potassium,natural-penicillins,pfizerpen,b,n
actinomycosis,lumpy jaw,rx,pfizerpen,penicillin g potassium,natural-penicillins,pfizerpen,b,n
acute coronary syndrome prophylaxis,,rx,clopidogrel,clopidogrel,platelet-aggregation-inhibitors,plavix,b,n
acute coronary syndrome prophylaxis,,rx,plavix,clopidogrel,platelet-aggregation-inhibitors,,b,n
acute coronary syndrome,,rx,plavix,clopidogrel,platelet-aggregation-inhibitors,,b,n
acute coronary syndrome,,rx,clopidogrel,clopidogrel,platelet-aggregation-inhibitors,plavix,b,n
acute coronary syndrome,,rx,effient,prasugrel,platelet-aggregation-inhibitors,,b,n
acute coronary syndrome,,rx,brilinta,ticagrelor,platelet-aggregation-inhibitors,,c,n
acute coronary syndrome,,rx,ticagrelor,ticagrelor,platelet-aggregation-inhibitors,brilinta|brilinta,c,n
acute coronary syndrome,,rx,prasugrel,prasugrel,platelet-aggregation-inhibitors,effient,b,n
acute coronary syndrome,,rx,enoxaparin,enoxaparin,heparins,lovenox|lovenox hp|clexane|clexane forte,b,n
acute coronary syndrome,,rx,lovenox,enoxaparin,heparins,,b,n
acute coronary syndrome,,rx,integrilin,eptifibatide,glycoprotein-platelet-inhibitors,,b,n
acute coronary syndrome,,rx,aggrastat,tirofiban,glycoprotein-platelet-inhibitors,aggrastat,b,n
acute coronary syndrome,,rx,eptifibatide,eptifibatide,glycoprotein-platelet-inhibitors,integrilin,b,n
acute coronary syndrome,,rx,tirofiban,tirofiban,glycoprotein-platelet-inhibitors,aggrastat,b,n
acute gout,,rx,colchicine,colchicine,antigout-agents,colcrys|mitigare|gloperba,c,n
acute gout,,rx,indomethacin,indomethacin,nonsteroidal-anti-inflammatory-agents,indocin|indocin sr|tivorbex,c,n
acute gout,,rx,colcrys,colchicine,antigout-agents,,c,n
acute gout,,rx,indocin,indomethacin,nonsteroidal-anti-inflammatory-agents,indocin|indocin sr|tivorbex,c,n
acute gout,,rx/otc,naproxen,naproxen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,ibuprofen,,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,advil,ibuprofen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,aleve,naproxen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx,methylprednisolone,methylprednisolone,glucocorticoids,,c,n
acute gout,,rx,methylprednisolone dose pack,methylprednisolone,glucocorticoids,medrol|medrol dosepak|methylprednisolone dose pack,c,n
acute gout,,rx/otc,naprosyn,naproxen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,advil liqui-gels,ibuprofen capsules,nonsteroidal-anti-inflammatory-agents,advil liqui-gels,c,n
acute gout,,rx/otc,motrin,ibuprofen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,a-g profen,ibuprofen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,actiprofen,ibuprofen,nonsteroidal-anti-inflammatory-agents,,c,n
acute gout,,rx/otc,addaprin,ibuprofen,nonsteroidal-anti-inflammatory-agents,,c,n
