,disease name,other names,RX/OTC,drug,generic name,drug class,brand names,pregnancy label,CSA label,cui_from_generic,cui_from_brand,cui_combined_gen_brand,rxnorms_from_CUI
79,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,bactrim,sulfamethoxazole/trimethoprim,sulfonamides,,d,n,C0041044|C3159986,C1272460|C1705112,C0041044|C3159986|C1272460|C1705112,
80,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,isotretinoin,isotretinoin,miscellaneous-antineoplastics,absorica|amnesteem|claravis|myorisan|sotret|zenatane|accutane|absorica ld,x,n,C0022265,,C0022265,apomorphine
81,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,retin-a,retin-a,topical-acne-agents,,c,n,C0593762,C1272460|C1705112,C0593762|C1272460|C1705112,
82,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,epiduo,adapalene/benzoyl peroxide,topical-acne-agents,,c,n,C2711031,C1272460|C1705112,C2711031|C1272460|C1705112,bone meal
83,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,aczone,dapsone topical,topical-acne-agents,,c,n,C1650367,C1272460|C1705112,C1650367|C1272460|C1705112,
84,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,differin,adapalene topical,topical-acne-agents,,c,n,C0717384,C1272460|C1705112,C0717384|C1272460|C1705112,
85,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,benzoyl peroxide,benzoyl peroxide topical,topical-acne-agents,acne-clear|benzac ac|benzepro|benziq|brevoxyl acne wash kit|clearskin|fostex wash 10%|neobenz micro|neutrogena acne mask|oscion|oxy daily wash|oxy-10|pacnex|panoxyl|persa-gel|riax|soluclenz rx|triaz|desquam-x 10|benzashave 5|benzashave 10|panoxyl aq 2.5|desquam-e|benzac w|brevoxyl|panoxyl aq 5|panoxyl 5|desquam-x 5|persa-gel w|benzagel-5|clearplex|panoxyl 10|panoxyl aq 10|benzagel-10|peroxin a 10|desquam-x wash|triaz cleanser|benoxyl 5|acne treatment|ben-aqua|del-aqua|peroxin a|zeroxin|acne-10|benoxyl 10|fostex bar 10%|fostex gel 10%|clear by design|loroxide|vanoxide|oxy vanishing gel|neutrogena on spot acne treatment|seba-gel|brevoxyl creamy wash|clinac bpo|benzagel wash|ethexderm|oxy 10 balance|zaclir|oxy balance|benziq ls|benziq wash|zoderm redi-pads|panoxyl aqua gel|oscion cleanser|inova|neobenz micro sd|lavoclen-4 creamy wash|lavoclen-8 creamy wash|oxy daily wash chill factor|oxy spot treatment|panoxyl maximum strength foaming acne wash|lavoclen-4|lavoclen-8|breze|brevoxyl-4 creamy wash complete pack|brevoxyl-8 creamy wash complete pack|neobenz micro wash|neobenz micro wash plus pack|triaz foaming cloths|triaz pads|benzefoam|pacnex mx wash|neobenz micro cream plus pack|benzac ac wash|bpo foaming cloths|pacnex hp|pacnex lp|benzefoam ultra|bp cleansing lotion|bp wash|oc8|delos|bpo|pr benzoyl peroxide wash|differin daily deep cleanser|benzac|desquam-x 10|benzashave 5|benzashave 10|panoxyl aq 2.5|desquam-e|benzac w|brevoxyl|panoxyl aq 5|panoxyl 5|desquam-x 5|persa-gel w|benzagel-5|clearplex|panoxyl 10|panoxyl aq 10|benzagel-10|peroxin a 10|desquam-x wash|triaz cleanser|benoxyl 5|acne treatment|ben-aqua|del-aqua|peroxin a|zeroxin|acne-10|benoxyl 10|fostex bar 10%|fostex gel 10%|clear by design|loroxide|vanoxide|oxy vanishing gel|neutrogena on spot acne treatment|seba-gel|brevoxyl creamy wash|clinac bpo|benzagel wash|ethexderm|oxy 10 balance|zaclir|oxy balance|benziq ls|benziq wash|zoderm redi-pads (obsolete)|panoxyl aqua gel|oscion cleanser|inova|neobenz micro sd|lavoclen-4 creamy wash|lavoclen-8 creamy wash|oxy daily wash chill factor|oxy spot treatment|panoxyl maximum strength foaming acne wash|lavoclen-4|lavoclen-8|breze|brevoxyl-4 creamy wash complete pack|brevoxyl-8 creamy wash complete pack|neobenz micro wash|neobenz micro wash plus pack|triaz foaming cloths|triaz pads|benzefoam|pacnex mx wash|neobenz micro cream plus pack|benzac ac wash|bpo foaming cloths|pacnex hp|pacnex lp|benzefoam ultra|bp cleansing lotion|bp wash|oc8|delos|bpo|pr benzoyl peroxide wash|differin daily deep cleanser,c,n,C0717501,,C0717501,
86,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,solodyn,minocycline,tetracyclines,,d,n,C0026187,C1272460|C1705112,C0026187|C1272460|C1705112,brovanexine
87,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,doryx,doxycycline delayed-release tablets,miscellaneous-antimalarials,doryx,d,n,,C0720025,C0720025,
88,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx/otc,adapalene,adapalene topical,topical-acne-agents,differin|plixda,c,n,C0717384,,C0717384,
89,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,septra,sulfamethoxazole/trimethoprim,sulfonamides,,d,n,C0041044|C3159986,C1272460|C1705112,C0041044|C3159986|C1272460|C1705112,
90,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tetracycline,tetracycline,tetracyclines,,d,n,C0039651|C1744619,C1272460|C1705112,C0039651|C1744619|C1272460|C1705112,
91,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,sulfamethoxazole|trimethoprim,sulfamethoxazole/trimethoprim,sulfonamides,bactrim|bactrim ds|bactrim i.v.|septra i.v.|smz-tmp ds|sulfatrim pediatric|sulfatrim|bethaprim|cotrim|uroplus|uroplus ds|cotrim ds|bactrim pediatric|bethaprim pediatric|sulfatrim suspension|cotrim pediatric|septra ds|septra|sulfatrim|bethaprim|cotrim|uroplus|uroplus ds|cotrim ds|bactrim pediatric|bethaprim pediatric|sulfatrim suspension|cotrim pediatric|septra ds,d,n,C0041044|C3159986,,C0041044|C3159986,
92,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tazorac,tazarotene topical,topical-acne-agents,arazlo|avage|fabior|tazorac,x,n,C0718079,,C0718079,
93,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,cephalexin,cephalexin,first-generation-cephalosporins,,b,n,C0007716,C1272460|C1705112,C0007716|C1272460|C1705112,menthol/methyl salicylate/methylnicotinate
94,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,vibramycin,doxycycline suspension,miscellaneous-antimalarials,vibramycin,d,n,,C0699957,C0699957,
95,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,acticlate,doxycycline tablets/capsules,tetracyclines,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n,,,,
96,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,bactrim ds,sulfamethoxazole/trimethoprim tablets,sulfonamides,bactrim|bactrim ds,d,n,,,,
97,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,benzaclin,benzoyl peroxide/clindamycin topical,topical-acne-agents,,c,n,,C1272460|C1705112,C1272460|C1705112,
98,acromegaly,,rx,sandostatin lar depot,octreotide,somatostatin-and-somatostatin-analogs,sandostatin|sandostatin lar depot,b,n,C0028833,,C0028833,guanethidine
99,acromegaly,,rx,somavert,pegvisomant,growth-hormone-receptor-blockers,,b,n,C0913469,C1272460|C1705112,C0913469|C1272460|C1705112,ferrous sulfate
100,acromegaly,,rx,bromocriptine,bromocriptine,dopaminergic-antiparkinsonism-agents,parlodel,b,n,C0006230,C0000266,C0006230|C0000266,guaifenesin 300 mg/pseudoephedrine 60 mg 12 hr extended release oral capsule
101,acromegaly,,rx,somatuline depot,lanreotide,somatostatin-and-somatostatin-analogs,,c,n,C0209211,C1272460|C1705112,C0209211|C1272460|C1705112,thonzylamine hydrochloride 1.67 mg/ml
102,acromegaly,,rx,parlodel,bromocriptine,dopaminergic-antiparkinsonism-agents,parlodel,b,n,C0006230,C0000266,C0006230|C0000266,guaifenesin 300 mg/pseudoephedrine 60 mg 12 hr extended release oral capsule
103,acromegaly,,rx,sandostatin,octreotide,somatostatin-and-somatostatin-analogs,,b,n,C0028833,C1272460|C1705112,C0028833|C1272460|C1705112,guanethidine
104,acromegaly,,rx,octreotide,octreotide,somatostatin-and-somatostatin-analogs,sandostatin|sandostatin lar depot|benfyzia,b,n,C0028833,,C0028833,guanethidine
105,acromegaly,,rx,pegvisomant,pegvisomant,growth-hormone-receptor-blockers,somavert,b,n,C0913469,C1174777,C0913469|C1174777,ferrous sulfate
106,acromegaly,,rx,lanreotide,lanreotide,somatostatin-and-somatostatin-analogs,somatuline depot,c,n,C0209211,C1964933,C0209211|C1964933,thonzylamine hydrochloride 1.67 mg/ml
107,acromegaly,,rx,pasireotide,pasireotide,somatostatin-and-somatostatin-analogs,signifor|signifor lar,c,n,C1872203,,C1872203,aminacrine
108,acromegaly,,rx,signifor lar,pasireotide,somatostatin-and-somatostatin-analogs,signifor|signifor lar,c,n,C1872203,,C1872203,aminacrine
109,actinic keratosis,,rx,fluorouracil,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak|efudex occlusion pack,x,n,C0717779,,C0717779,
110,actinic keratosis,,rx,efudex,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n,C0717779,,C0717779,
111,actinic keratosis,,rx,picato,ingenol topical,topical-antineoplastics,,c,n,,C1272460|C1705112,C1272460|C1705112,
112,actinic keratosis,,rx,carac,fluorouracil topical,topical-antineoplastics,carac|efudex|fluoroplex|tolak,x,n,C0717779,,C0717779,
