Code Range,CCS,CCS Label,l,r
0022U-0022U,234,Pathology,0022U,0022U
0023T-0023T,206,"Microscopic examination (bacterial smear, culture, toxicology)",0023T,0023T
0023U-0023U,234,Pathology,0023U,0023U
0024T-0024T,49,Other OR heart procedures,0024T,0024T
0024U-0024U,235,Other Laboratory,0024U,0024U
0025T-0025T,220,Ophthalmologic and otologic diagnosis and treatment,0025T,0025T
0025U-0025U,235,Other Laboratory,0025U,0025U
0026T-0026T,233,Laboratory - Chemistry and Hematology,0026T,0026T
0026U-0026U,234,Pathology,0026U,0026U
0027T-0027T,164,Other OR therapeutic procedures on musculoskeletal system,0027T,0027T
0027U-0027U,234,Pathology,0027U,0027U
0028T-0028T,226,Other diagnostic radiology and related techniques,0028T,0028T
0028U-0028U,234,Pathology,0028U,0028U
0029T-0029T,111,Other non-OR therapeutic procedures of urinary tract,0029T,0029T
0029U-0029U,234,Pathology,0029U,0029U
00300-00300,232,Anesthesia,300,300
0030T-0030T,235,Other Laboratory,0030T,0030T
0030U-0030U,234,Pathology,0030U,0030U
0031T-0031T,130,"Other diagnostic procedures, female organs",0031T,0031T
0031U-0031U,234,Pathology,0031U,0031U
00320-00326,232,Anesthesia,320,326
0032T-0032T,130,"Other diagnostic procedures, female organs",0032T,0032T
0032U-0032U,234,Pathology,0032U,0032U
0033T-0033T,52,"Aortic resection, replacement or anastomosis",0033T,0033T
0033U-0033U,234,Pathology,0033U,0033U
0034T-0034T,52,"Aortic resection, replacement or anastomosis",0034T,0034T
0034U-0034U,234,Pathology,0034U,0034U
00350-00352,232,Anesthesia,350,352
0035T-0035T,52,"Aortic resection, replacement or anastomosis",0035T,0035T
0035U-0035U,234,Pathology,0035U,0035U
0036T-0036T,52,"Aortic resection, replacement or anastomosis",0036T,0036T
0036U-0036U,234,Pathology,0036U,0036U
0037T-0037T,59,Other OR procedures on vessels of head and neck,0037T,0037T
0037U-0037U,234,Pathology,0037U,0037U
0038T-0038T,231,Other therapeutic procedures,0038T,0038T
0038U-0038U,233,Laboratory - Chemistry and Hematology,0038U,0038U
0039T-0039T,231,Other therapeutic procedures,0039T,0039T
0039U-0039U,235,Other Laboratory,0039U,0039U
00400-00406,232,Anesthesia,400,406
0040T-0040T,231,Other therapeutic procedures,0040T,0040T
0040U-0040U,234,Pathology,0040U,0040U
00410-00410,232,Anesthesia,410,410
0041T-0041U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0041T,0041U
00420-00420,232,Anesthesia,420,420
0042T-0042T,180,Other CT scan,0042T,0042T
0042U-0042U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0042U,0042U
0043T-0043T,40,Other diagnostic procedures of respiratory tract and mediastinum,0043T,0043T
0043U-0043U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0043U,0043U
0044T-0044T,173,Other diagnostic procedures on skin and subcutaneous tissue,0044T,0044T
0044U-0044U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0044U,0044U
00450-00454,232,Anesthesia,450,454
0045T-0045T,174,Other non-OR therapeutic procedures on skin and breast,0045T,0045T
0045U-0045U,234,Pathology,0045U,0045U
0046T-0046T,165,Breast biopsy and other diagnostic procedures on breast,0046T,0046T
0046U-0046U,234,Pathology,0046U,0046U
00470-00474,232,Anesthesia,470,474
0047T-0047T,165,Breast biopsy and other diagnostic procedures on breast,0047T,0047T
0047U-0047U,234,Pathology,0047U,0047U
0048T-0048T,50,Extracorporeal circulation auxiliary to open heart procedures,0048T,0048T
0048U-0048U,234,Pathology,0048U,0048U
0049T-0049T,50,Extracorporeal circulation auxiliary to open heart procedures,0049T,0049T
0049U-0049U,234,Pathology,0049U,0049U
00500-00500,232,Anesthesia,500,500
0050T-0050T,50,Extracorporeal circulation auxiliary to open heart procedures,0050T,0050T
0050U-0050U,234,Pathology,0050U,0050U
0051T-0051T,49,Other OR heart procedures,0051T,0051T
0051U-0051U,235,Other Laboratory,0051U,0051U
00520-00529,232,Anesthesia,520,529
0052T-0052T,49,Other OR heart procedures,0052T,0052T
0052U-0052U,233,Laboratory - Chemistry and Hematology,0052U,0052U
00530-00539,232,Anesthesia,530,539
0053T-0053T,49,Other OR heart procedures,0053T,0053T
0053U-0053U,234,Pathology,0053U,0053U
00540-00548,232,Anesthesia,540,548
0054T-0054T,226,Other diagnostic radiology and related techniques,0054T,0054T
0054U-0054U,235,Other Laboratory,0054U,0054U
00550-00550,232,Anesthesia,550,550
0055T-0055T,226,Other diagnostic radiology and related techniques,0055T,0055T
0055U-0055U,234,Pathology,0055U,0055U
00560-00567,232,Anesthesia,560,567
0056T-0056T,226,Other diagnostic radiology and related techniques,0056T,0056T
0056U-0056U,234,Pathology,0056U,0056U
0057T-0057T,70,"Upper gastrointestinal endoscopy, biopsy",0057T,0057T
0057U-0057U,234,Pathology,0057U,0057U
00580-00580,232,Anesthesia,580,580
0058T-0059U,235,Other Laboratory,0058T,0059U
00600-00604,232,Anesthesia,600,604
0060T-0060T,165,Breast biopsy and other diagnostic procedures on breast,0060T,0060T
0060U-0060U,234,Pathology,0060U,0060U
0061T-0061T,175,Other OR therapeutic procedures on skin and breast,0061T,0061T
0061U-0061U,233,Laboratory - Chemistry and Hematology,0061U,0061U
00620-00626,232,Anesthesia,620,626
0062T-0062T,9,Other OR therapeutic nervous system procedures,0062T,0062T
0062U-0062U,234,Pathology,0062U,0062U
00630-00635,232,Anesthesia,630,635
0063T-0063T,9,Other OR therapeutic nervous system procedures,0063T,0063T
0063U-0063U,234,Pathology,0063U,0063U
00640-00640,232,Anesthesia,640,640
0064T-0064T,40,Other diagnostic procedures of respiratory tract and mediastinum,0064T,0064T
0064U-0064U,235,Other Laboratory,0064U,0064U
0065T-0065T,18,Diagnostic procedures on eye,0065T,0065T
0065U-0065U,235,Other Laboratory,0065U,0065U
0066T-0066T,76,Colonoscopy and biopsy,0066T,0066T
0066U-0066U,233,Laboratory - Chemistry and Hematology,0066U,0066U
00670-00670,232,Anesthesia,670,670
0067T-0067T,76,Colonoscopy and biopsy,0067T,0067T
0067U-0067U,234,Pathology,0067U,0067U
0068T-0068T,202,Electrocardiogram,0068T,0068T
0068U-0068U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0068U,0068U
0069T-0069T,202,Electrocardiogram,0069T,0069T
0069U-0069U,234,Pathology,0069U,0069U
00700-00702,232,Anesthesia,700,702
0070T-0070T,202,Electrocardiogram,0070T,0070T
0070U-0070U,234,Pathology,0070U,0070U
0071T-0071T,131,"Other non-OR therapeutic procedures, female organs",0071T,0071T
0071U-0071U,234,Pathology,0071U,0071U
0072T-0072T,131,"Other non-OR therapeutic procedures, female organs",0072T,0072T
0072U-0072U,234,Pathology,0072U,0072U
00730-00732,232,Anesthesia,730,732
0073T-0073T,211,Therapeutic radiology,0073T,0073T
0073U-0073U,234,Pathology,0073U,0073U
00740-00740,232,Anesthesia,740,740
0074T-0074T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0074T,0074T
0074U-0074U,234,Pathology,0074U,0074U
00750-00756,232,Anesthesia,750,756
0075T-0075T,59,Other OR procedures on vessels of head and neck,0075T,0075T
0075U-0075U,234,Pathology,0075U,0075U
0076T-0076T,59,Other OR procedures on vessels of head and neck,0076T,0076T
0076U-0076U,234,Pathology,0076U,0076U
00770-00770,232,Anesthesia,770,770
0077T-0077T,7,Other diagnostic nervous system procedures,0077T,0077T
0077U-0077U,233,Laboratory - Chemistry and Hematology,0077U,0077U
0078T-0078T,61,Other OR procedures on vessels other than head and neck,0078T,0078T
0078U-0078U,234,Pathology,0078U,0078U
00790-00797,232,Anesthesia,790,797
0079T-0079T,61,Other OR procedures on vessels other than head and neck,0079T,0079T
0079U-0079U,234,Pathology,0079U,0079U
00800-00806,232,Anesthesia,800,806
0080T-0080T,61,Other OR procedures on vessels other than head and neck,0080T,0080T
0080U-0080U,234,Pathology,0080U,0080U
00810-00813,232,Anesthesia,810,813
0081T-0081T,61,Other OR procedures on vessels other than head and neck,0081T,0081T
0081U-0081U,234,Pathology,0081U,0081U
00820-00820,232,Anesthesia,820,820
0082T-0082T,211,Therapeutic radiology,0082T,0082T
0082U-0082U,235,Other Laboratory,0082U,0082U
00830-00836,232,Anesthesia,830,836
0083T-0083T,211,Therapeutic radiology,0083T,0083T
0083U-0083U,234,Pathology,0083U,0083U
00840-00848,232,Anesthesia,840,848
0084T-0084T,109,Procedures on the urethra,0084T,0084T
00850-00857,232,Anesthesia,850,857
0085T-0085T,62,Other diagnostic cardiovascular procedures,0085T,0085T
00860-00869,232,Anesthesia,860,869
0086T-0086T,62,Other diagnostic cardiovascular procedures,0086T,0086T
00870-00870,232,Anesthesia,870,870
00872-00873,230,"Extracorporeal shock wave, other than urinary",872,873
0087T-0087T,206,"Microscopic examination (bacterial smear, culture, toxicology)",0087T,0087T
00880-00884,232,Anesthesia,880,884
0088T-0088T,32,"Other non-OR therapeutic procedures on nose, mouth and pharynx",0088T,0088T
0089T-0089T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0089T,0089T
00900-00908,232,Anesthesia,900,908
0090T-0090T,154,Arthroplasty other than hip or knee,0090T,0090T
00910-00918,232,Anesthesia,910,918
0091T-0091T,154,Arthroplasty other than hip or knee,0091T,0091T
00920-00928,232,Anesthesia,920,928
0092T-0092T,154,Arthroplasty other than hip or knee,0092T,0092T
00930-00938,232,Anesthesia,930,938
0093T-0093T,162,Other OR therapeutic procedures on joints,0093T,0093T
00940-00948,232,Anesthesia,940,948
0094T-0094T,162,Other OR therapeutic procedures on joints,0094T,0094T
00950-00952,232,Anesthesia,950,952
00955-00955,137,Other procedures to assist delivery,955,955
0095T-0095T,162,Other OR therapeutic procedures on joints,0095T,0095T
0096T-0098T,154,Arthroplasty other than hip or knee,0096T,0098T
0099T-0099T,19,"Other therapeutic procedures on eyelids, conjunctiva, cornea",0099T,0099T
01000-01000,232,Anesthesia,1000,1000
0100T-0100T,20,Other intraocular therapeutic procedures,0100T,0100T
0101T-0101T,163,Other non-OR therapeutic procedures on musculoskeletal system,0101T,0101T
0102T-0102T,162,Other OR therapeutic procedures on joints,0102T,0102T
0103T-0103T,233,Laboratory - Chemistry and Hematology,0103T,0103T
0104T-0105T,62,Other diagnostic cardiovascular procedures,0104T,0105T
0106T-0110T,7,Other diagnostic nervous system procedures,0106T,0110T
01110-01112,232,Anesthesia,1110,1112
0111T-0111T,233,Laboratory - Chemistry and Hematology,0111T,0111T
01120-01150,232,Anesthesia,1120,1150
0115T-0115T,237,Ancillary Services,0115T,0115T
01160-01160,232,Anesthesia,1160,1160
0116T-0116T,237,Ancillary Services,0116T,0116T
01170-01173,232,Anesthesia,1170,1173
0117T-0117T,237,Ancillary Services,0117T,0117T
01180-01202,232,Anesthesia,1180,1202
0120T-0120T,132,"Other OR therapeutic procedures, female organs",0120T,0120T
01210-01234,232,Anesthesia,1210,1234
0123T-0123T,14,Glaucoma procedures,0123T,0123T
01240-01240,232,Anesthesia,1240,1240
0124T-0124T,19,"Other therapeutic procedures on eyelids, conjunctiva, cornea",0124T,0124T
01250-01260,232,Anesthesia,1250,1260
0126T-0126T,192,Diagnostic ultrasound of head and neck,0126T,0126T
01270-01300,232,Anesthesia,1270,1300
0130T-0130T,237,Ancillary Services,0130T,0130T
01320-01320,232,Anesthesia,1320,1320
0133T-0133T,70,"Upper gastrointestinal endoscopy, biopsy",0133T,0133T
01340-01340,232,Anesthesia,1340,1340
0135T-0135T,112,Other OR therapeutic procedures of urinary tract,0135T,0135T
01360-01360,232,Anesthesia,1360,1360
0137T-0137T,116,"Diagnostic procedures, male genital",0137T,0137T
01380-01404,232,Anesthesia,1380,1404
0140T-0140T,40,Other diagnostic procedures of respiratory tract and mediastinum,0140T,0140T
0141T-0141T,99,Other OR gastrointestinal therapeutic procedures,0141T,0141T
01420-01420,232,Anesthesia,1420,1420
0142T-0142T,99,Other OR gastrointestinal therapeutic procedures,0142T,0142T
01430-01432,232,Anesthesia,1430,1432
0143T-0143T,99,Other OR gastrointestinal therapeutic procedures,0143T,0143T
01440-01444,232,Anesthesia,1440,1444
0144T-0145T,180,Other CT scan,0144T,0145T
01460-01464,232,Anesthesia,1460,1464
0146T-0146T,180,Other CT scan,0146T,0146T
01470-01474,232,Anesthesia,1470,1474
0147T-0147T,180,Other CT scan,0147T,0147T
01480-01486,232,Anesthesia,1480,1486
0148T-0148T,180,Other CT scan,0148T,0148T
01490-01490,232,Anesthesia,1490,1490
0149T-0149T,180,Other CT scan,0149T,0149T
01500-01502,232,Anesthesia,1500,1502
0150T-0151T,180,Other CT scan,0150T,0151T
01520-01522,232,Anesthesia,1520,1522
0152T-0152T,226,Other diagnostic radiology and related techniques,0152T,0152T
0153T-0154T,61,Other OR procedures on vessels other than head and neck,0153T,0154T
0155T-0158T,94,Other OR upper GI therapeutic procedures,0155T,0158T
0159T-0159T,198,Magnetic resonance imaging,0159T,0159T
01600-01600,232,Anesthesia,1600,1600
0160T-0160T,8,Other non-OR or closed therapeutic nervous system procedures,0160T,0160T
01610-01610,232,Anesthesia,1610,1610
0161T-0161T,8,Other non-OR or closed therapeutic nervous system procedures,0161T,0161T
01620-01622,232,Anesthesia,1620,1622
0162T-0162T,94,Other OR upper GI therapeutic procedures,0162T,0162T
01630-01638,232,Anesthesia,1630,1638
0163T-0164T,158,Spinal fusion,0163T,0164T
01650-01656,232,Anesthesia,1650,1656
0165T-0165T,158,Spinal fusion,0165T,0165T
0166T-0166T,49,Other OR heart procedures,0166T,0166T
01670-01670,232,Anesthesia,1670,1670
0167T-0167T,49,Other OR heart procedures,0167T,0167T
01680-01682,232,Anesthesia,1680,1682
0168T-0168T,32,"Other non-OR therapeutic procedures on nose, mouth and pharynx",0168T,0168T
0169T-0169T,2,"Insertion, replacement, or removal of extracranial ventricular shunt",0169T,0169T
01700-01700,232,Anesthesia,1700,1700
0170T-0170T,96,Other OR lower GI therapeutic procedures,0170T,0170T
01710-01716,232,Anesthesia,1710,1716
0171T-0172T,164,Other OR therapeutic procedures on musculoskeletal system,0171T,0172T
01730-01732,232,Anesthesia,1730,1732
0173T-0173T,16,"Repair of retinal tear, detachment",0173T,0173T
01740-01744,232,Anesthesia,1740,1744
0174T-0174T,183,Routine chest X-ray,0174T,0174T
01756-01758,232,Anesthesia,1756,1758
0175T-0175T,183,Routine chest X-ray,0175T,0175T
01760-01760,232,Anesthesia,1760,1760
0176T-0176T,14,Glaucoma procedures,0176T,0176T
01770-01772,232,Anesthesia,1770,1772
0177T-0177T,14,Glaucoma procedures,0177T,0177T
01780-01784,232,Anesthesia,1780,1784
0178T-0179T,202,Electrocardiogram,0178T,0179T
01800-01800,232,Anesthesia,1800,1800
0180T-0180T,202,Electrocardiogram,0180T,0180T
01810-01810,232,Anesthesia,1810,1810
0181T-0181T,18,Diagnostic procedures on eye,0181T,0181T
01820-01829,232,Anesthesia,1820,1829
0182T-0182T,211,Therapeutic radiology,0182T,0182T
01830-01832,232,Anesthesia,1830,1832
0183T-0183T,174,Other non-OR therapeutic procedures on skin and breast,0183T,0183T
01840-01844,232,Anesthesia,1840,1844
0184T-0184T,96,Other OR lower GI therapeutic procedures,0184T,0184T
01850-01852,232,Anesthesia,1850,1852
0185T-0185T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0185T,0185T
01860-01860,232,Anesthesia,1860,1860
0186T-0186T,20,Other intraocular therapeutic procedures,0186T,0186T
0187T-0187T,18,Diagnostic procedures on eye,0187T,0187T
0188T-0189T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0188T,0189T
01900-01908,232,Anesthesia,1900,1908
0190T-0190T,20,Other intraocular therapeutic procedures,0190T,0190T
01910-01918,232,Anesthesia,1910,1918
0191T-0191T,14,Glaucoma procedures,0191T,0191T
01920-01926,232,Anesthesia,1920,1926
0192T-0192T,14,Glaucoma procedures,0192T,0192T
01930-01936,232,Anesthesia,1930,1936
0193T-0193T,109,Procedures on the urethra,0193T,0193T
0194T-0194T,235,Other Laboratory,0194T,0194T
01951-01958,232,Anesthesia,1951,1958
0195T-0195T,158,Spinal fusion,0195T,0195T
01960-01969,232,Anesthesia,1960,1969
0196T-0196T,158,Spinal fusion,0196T,0196T
0197T-0197T,211,Therapeutic radiology,0197T,0197T
0198T-0198T,220,Ophthalmologic and otologic diagnosis and treatment,0198T,0198T
01990-01999,232,Anesthesia,1990,1999
0199T-0199T,7,Other diagnostic nervous system procedures,0199T,0199T
0200T-0201T,148,Other fracture and dislocation procedure,0200T,0201T
0202T-0202T,3,"Laminectomy, excision intervertebral disc",0202T,0202T
0203T-0204T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0203T,0204T
0205T-0205T,47,"Diagnostic cardiac catheterization, coronary arteriography",0205T,0205T
0206T-0206T,202,Electrocardiogram,0206T,0206T
0207T-0207T,19,"Other therapeutic procedures on eyelids, conjunctiva, cornea",0207T,0207T
0208T-0212T,220,Ophthalmologic and otologic diagnosis and treatment,0208T,0212T
0213T-0218T,231,Other therapeutic procedures,0213T,0218T
0219T-0222T,164,Other OR therapeutic procedures on musculoskeletal system,0219T,0222T
0223T-0225T,202,Electrocardiogram,0223T,0225T
0226T-0227T,77,Proctoscopy and anorectal biopsy,0226T,0227T
0228T-0232T,231,Other therapeutic procedures,0228T,0232T
0233T-0233T,235,Other Laboratory,0233T,0233T
0234T-0238T,61,Other OR procedures on vessels other than head and neck,0234T,0238T
0239T-0239T,235,Other Laboratory,0239T,0239T
0240T-0242T,97,Other gastrointestinal diagnostic procedures,0240T,0242T
0243T-0244T,40,Other diagnostic procedures of respiratory tract and mediastinum,0243T,0244T
0245T-0248T,148,Other fracture and dislocation procedure,0245T,0248T
0249T-0249T,81,Hemorrhoid procedures,0249T,0249T
0250T-0252T,41,Other non-OR therapeutic procedures on respiratory system,0250T,0252T
0253T-0253T,14,Glaucoma procedures,0253T,0253T
0254T-0255T,61,Other OR procedures on vessels other than head and neck,0254T,0255T
0256T-0259T,43,Heart valve procedures,0256T,0259T
0260T-0261T,231,Other therapeutic procedures,0260T,0261T
0262T-0262T,43,Heart valve procedures,0262T,0262T
0263T-0264T,156,"Injections and aspirations of muscles, tendons, bursa, joints and soft tissue",0263T,0264T
0265T-0265T,67,"Other therapeutic procedures, hemic and lymphatic system",0265T,0265T
0266T-0271T,59,Other OR procedures on vessels of head and neck,0266T,0271T
0272T-0272T,62,Other diagnostic cardiovascular procedures,0272T,0272T
0273T-0273T,63,Other non-OR therapeutic cardiovascular procedures,0273T,0273T
0274T-0275T,3,"Laminectomy, excision intervertebral disc",0274T,0275T
0276T-0277T,42,Other OR therapeutic procedures on respiratory system,0276T,0277T
0278T-0278T,8,Other non-OR or closed therapeutic nervous system procedures,0278T,0278T
0279T-0280T,235,Other Laboratory,0279T,0280T
0281T-0281T,63,Other non-OR therapeutic cardiovascular procedures,0281T,0281T
0282T-0284T,9,Other OR therapeutic nervous system procedures,0282T,0284T
0285T-0285T,7,Other diagnostic nervous system procedures,0285T,0285T
0286T-0287T,226,Other diagnostic radiology and related techniques,0286T,0287T
0288T-0288T,95,Other non-OR lower GI therapeutic procedures,0288T,0288T
0289T-0290T,13,Corneal transplant,0289T,0290T
0291T-0292T,62,Other diagnostic cardiovascular procedures,0291T,0292T
0293T-0294T,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0293T,0294T
0295T-0298T,203,Electrographic cardiac monitoring,0295T,0298T
0299T-0300T,214,"Traction, splints, and other wound care",0299T,0300T
0301T-0301T,166,"Lumpectomy, quadrantectomy of breast",0301T,0301T
0302T-0307T,49,Other OR heart procedures,0302T,0307T
0308T-0308T,15,Lens and cataract procedures,0308T,0308T
0309T-0309T,158,Spinal fusion,0309T,0309T
0310T-0310T,8,Other non-OR or closed therapeutic nervous system procedures,0310T,0310T
0311T-0311T,62,Other diagnostic cardiovascular procedures,0311T,0311T
0312T-0317T,244,Gastric bypass and volume reduction,0312T,0317T
0318T-0318T,43,Heart valve procedures,0318T,0318T
0319T-0325T,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0319T,0325T
0326T-0328T,62,Other diagnostic cardiovascular procedures,0326T,0328T
0329T-0330T,18,Diagnostic procedures on eye,0329T,0330T
0331T-0332T,209,Radioisotope scan and function studies,0331T,0332T
0333T-0333T,7,Other diagnostic nervous system procedures,0333T,0333T
0334T-0335T,162,Other OR therapeutic procedures on joints,0334T,0335T
0336T-0336T,132,"Other OR therapeutic procedures, female organs",0336T,0336T
0337T-0337T,62,Other diagnostic cardiovascular procedures,0337T,0337T
0338T-0339T,9,Other OR therapeutic nervous system procedures,0338T,0339T
0340T-0340T,42,Other OR therapeutic procedures on respiratory system,0340T,0340T
0341T-0341T,7,Other diagnostic nervous system procedures,0341T,0341T
0342T-0342T,231,Other therapeutic procedures,0342T,0342T
0343T-0345T,43,Heart valve procedures,0343T,0345T
0346T-0346T,197,Other diagnostic ultrasound,0346T,0346T
0347T-0350T,226,Other diagnostic radiology and related techniques,0347T,0350T
0351T-0354T,180,Other CT scan,0351T,0354T
0355T-0355T,97,Other gastrointestinal diagnostic procedures,0355T,0355T
0356T-0356T,21,Other extraocular muscle and orbit therapeutic procedures,0356T,0356T
0357T-0357T,235,Other Laboratory,0357T,0357T
0358T-0358T,227,"Other diagnostic procedures (interview, evaluation, consultation)",0358T,0358T
0359T-0374T,218,Psychological and psychiatric evaluation and therapy,0359T,0374T
0375T-0375T,154,Arthroplasty other than hip or knee,0375T,0375T
0376T-0376T,20,Other intraocular therapeutic procedures,0376T,0376T
0377T-0377T,95,Other non-OR lower GI therapeutic procedures,0377T,0377T
0378T-0380T,220,Ophthalmologic and otologic diagnosis and treatment,0378T,0380T
0381T-0386T,7,Other diagnostic nervous system procedures,0381T,0386T
0387T-0388T,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0387T,0388T
0389T-0391T,203,Electrographic cardiac monitoring,0389T,0391T
0392T-0393T,94,Other OR upper GI therapeutic procedures,0392T,0393T
0394T-0395T,211,Therapeutic radiology,0394T,0395T
0396T-0396T,152,Arthroplasty knee,0396T,0396T
0397T-0397T,82,Endoscopic retrograde cannulation of pancreas (ERCP),0397T,0397T
0398T-0398T,9,Other OR therapeutic nervous system procedures,0398T,0398T
0399T-0399T,193,Diagnostic ultrasound of heart (echocardiogram),0399T,0399T
0400T-0401T,173,Other diagnostic procedures on skin and subcutaneous tissue,0400T,0401T
0402T-0402T,19,"Other therapeutic procedures on eyelids, conjunctiva, cornea",0402T,0402T
0403T-0403T,237,Ancillary Services,0403T,0403T
0404T-0404T,131,"Other non-OR therapeutic procedures, female organs",0404T,0404T
0405T-0405T,237,Ancillary Services,0405T,0405T
0406T-0407T,33,"Other OR therapeutic procedures on nose, mouth and pharynx",0406T,0407T
0408T-0416T,48,"Insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0408T,0416T
0417T-0418T,203,Electrographic cardiac monitoring,0417T,0418T
0419T-0420T,175,Other OR therapeutic procedures on skin and breast,0419T,0420T
0421T-0421T,113,Transurethral resection of prostate (TURP),0421T,0421T
0422T-0422T,226,Other diagnostic radiology and related techniques,0422T,0422T
0423T-0423T,233,Laboratory - Chemistry and Hematology,0423T,0423T
0424T-0433T,9,Other OR therapeutic nervous system procedures,0424T,0433T
0434T-0436T,7,Other diagnostic nervous system procedures,0434T,0436T
0437T-0437T,99,Other OR gastrointestinal therapeutic procedures,0437T,0437T
0438T-0438T,211,Therapeutic radiology,0438T,0438T
0439T-0439T,193,Diagnostic ultrasound of heart (echocardiogram),0439T,0439T
0440T-0442T,8,Other non-OR or closed therapeutic nervous system procedures,0440T,0442T
0443T-0443T,116,"Diagnostic procedures, male genital",0443T,0443T
0444T-0445T,240,"Medications (Injections, infusions and other forms)",0444T,0445T
0446T-0448T,11,Diagnostic endocrine procedures,0446T,0448T
0449T-0450T,14,Glaucoma procedures,0449T,0450T
0451T-0461T,49,Other OR heart procedures,0451T,0461T
0462T-0463T,62,Other diagnostic cardiovascular procedures,0462T,0463T
0464T-0464T,220,Ophthalmologic and otologic diagnosis and treatment,0464T,0464T
0465T-0465T,240,"Medications (Injections, infusions and other forms)",0465T,0465T
0466T-0468T,9,Other OR therapeutic nervous system procedures,0466T,0468T
0469T-0469T,220,Ophthalmologic and otologic diagnosis and treatment,0469T,0469T
0470T-0471T,174,Other non-OR therapeutic procedures on skin and breast,0470T,0471T
0472T-0473T,220,Ophthalmologic and otologic diagnosis and treatment,0472T,0473T
0474T-0474T,20,Other intraocular therapeutic procedures,0474T,0474T
0475T-0478T,62,Other diagnostic cardiovascular procedures,0475T,0478T
0479T-0480T,170,Excision of skin lesion,0479T,0480T
0481T-0481T,164,Other OR therapeutic procedures on musculoskeletal system,0481T,0481T
0482T-0482T,210,Other radioisotope scan,0482T,0482T
